facility_name,facility_type,address,lat,long
CHEN FAMILY CLINIC,CHAS Clinic,153 SERANGOON NORTH AVE 1 550153,1.36995099695439,103.872312298307
CHENG CLINIC,CHAS Clinic,447 ANG MO KIO AVE 10 560447,1.36747901395741,103.855967138976
CHEONG FAMILY CLINIC PTE LTD,CHAS Clinic,45 OWEN RD 210045,1.31559567557441,103.850825476113
CHEONG MEDICAL CLINIC,CHAS Clinic,76 JLN JURONG KECHIL 598589,1.34054866770426,103.77332960556
CHERN MEDICAL CLINIC,CHAS Clinic,138 TAMPINES ST 11 521138,1.34550450587014,103.945588355489
CHESTMED pte ltd,CHAS Clinic,3 Mount Elizabeth 228510,1.30516521414744,103.83543933754
CHIA & LEE MEDICAL & DENTAL CLINIC,CHAS Clinic,802 TAMPINES AVE 4 520802,1.34608442387087,103.93803402297
CHIA CLINIC AND SURGERY,CHAS Clinic,27 FOCH ROAD 209264,1.31270180835768,103.859968796046
CHIEW CLINIC,CHAS Clinic,2 KOVAN ROAD 548008,1.36197602911345,103.88499280169
CHIN CHOO CLINIC,CHAS Clinic,35 CIRCUIT ROAD 370035,1.32915899651205,103.886010316195
CHIN LEONG CLINIC,CHAS Clinic,517 WEST COAST ROAD 120517,1.30747684403086,103.7601572777
CHINATOWN WELLNESS CLINIC,CHAS Clinic,531 UPPER CROSS STREET 050531,1.28439238197795,103.846101472114
CHIRON MEDICAL CLINIC,CHAS Clinic,3 ST. GEORGE'S ROAD 320003,1.32258735163112,103.861107276896
CHNG CLINIC AND SURGERY,CHAS Clinic,178 TOA PAYOH CENTRAL 310178,1.33358025833851,103.849264521174
CHONG & LIM FAMILY CLINIC,CHAS Clinic,103 GANGSA ROAD 670103,1.37867070866309,103.768538441068
CHONG MEDICAL CLINIC,CHAS Clinic,703 BEDOK RESERVOIR ROAD 470703,1.33716507465033,103.91989305506
CHONG'S MEDICAL CENTRE,CHAS Clinic,190 CLEMENCEAU AVE 239924,1.29815265418204,103.844111318068
CHOONG'S CLINIC,CHAS Clinic,480 TAMPINES ST 44 520480,1.36189869571333,103.953613062624
CHOONG'S CLINIC,CHAS Clinic,21 OLD AIRPORT RD 390021,1.3075861395776,103.88441304265
CHUA CLINIC,CHAS Clinic,678 HOUGANG AVE 8 530678,1.37084076367772,103.884236382226
CHUA CLINIC & SURGERY,CHAS Clinic,769 YISHUN AVE 3 760769,1.42460205341205,103.83322239147
CHUA CLINIC & SURGERY,CHAS Clinic,844 YISHUN ST 81 760844,1.41562517359593,103.835446503405
CHUA MEDICO CLINIC LLP,CHAS Clinic,529 ANG MO KIO AVE 10 560529,1.37234358213412,103.85545542764
CHUAH CLINIC & SURGERY PTE LTD,CHAS Clinic,113 ALJUNIED AVE 2 380113,1.32052595944466,103.886159306963
CHUNGKIAW CLINIC PTE LTD,CHAS Clinic,68 JALAN JURONG KECHIL 596180,1.34054847931538,103.773649129579
CITILIFE FAMILY CLINIC,CHAS Clinic,215 JURONG EAST ST 21 600215,1.33993327230313,103.738514477814
CITIZEN FAMILY CLINIC AND SURGERY,CHAS Clinic,102 YISHUN AVE 5 760102,1.43061830395979,103.828762985206
CLARION MEDICAL,CHAS Clinic,202 ANG MO KIO AVENUE 3 560202,1.36844644023912,103.844516260553
DA Clinic @ Bishan,CHAS Clinic,501 BISHAN STREET 11 570501,1.34841689766538,103.84907733333
1 Medical Teck Ghee,CHAS Clinic,410 ANG MO KIO AVENUE 10 560410,1.36271541943285,103.854644986918
115 EASTPOINT CLINIC & SURGERY,CHAS Clinic,115 BEDOK NORTH RD 460115,1.33143367986449,103.936865404289
18 CLINIC,CHAS Clinic,101 TOWNER ROAD 322101,1.31942539044681,103.861087462865
"1Aesthetics, Medical & Surgery",CHAS Clinic,8 EU TONG SEN STREET 059818,1.28895619965092,103.84679624319
338 FAMILY CLINIC,CHAS Clinic,338 ANG MO KIO AVE 1 560338,1.3638957019431,103.848986957423
57 Medical Clinic (Geylang Bahru),CHAS Clinic,57 GEYLANG BAHRU 330057,1.3235378064709,103.869147756879
81 FAMILY CLINIC,CHAS Clinic,86 MARINE PARADE CENTRAL 440086,1.30173721640039,103.906754510622
888 PLAZA FAMILY CLINIC,CHAS Clinic,888 WOODLANDS DRIVE 50 730888,1.43712301469225,103.79531438351
A & A Clinic,CHAS Clinic,570B WOODLANDS AVENUE 1 732570,1.43106395467045,103.79045407864
A LIFE CLINIC PTE LTD,CHAS Clinic,10 SINARAN DRIVE 307506,1.3207051098625,103.844160709873
A MEDICAL CLINIC,CHAS Clinic,1 EVERTON PARK 081001,1.27742654256439,103.840001188467
A+FFORDABLE CLINIC (AMK AVE 10),CHAS Clinic,449 ANG MO KIO AVENUE 10 560449,1.36785888235033,103.856047008296
A+FFORDABLE CLINIC (HOUGANG),CHAS Clinic,681 HOUGANG AVENUE 8 530681,1.37297840263115,103.885679159796
A1 Medical Clinic,CHAS Clinic,418 BEDOK NORTH AVENUE 2 460418,1.32856421162809,103.930036524412
ABLE MEDICAL,CHAS Clinic,201D TAMPINES STREET 21 524201,1.35226231434834,103.953586491461
ACMS MEDICAL CLINIC,CHAS Clinic,1 GRANGE ROAD 239693,1.30139878843175,103.837359153263
ACUMED MEDICAL GROUP,CHAS Clinic,16 COLLYER QUAY 049318,1.28418785545188,103.852547365584
ACUMED MEDICAL GROUP,CHAS Clinic,1 JURONG WEST CENTRAL 2 648886,1.33945271688955,103.706685012636
ACUMED MEDICAL GROUP,CHAS Clinic,38 TEBAN GARDENS ROAD 600038,1.32113896653504,103.742787643586
ACUMED MEDICAL GROUP,CHAS Clinic,111 WOODLANDS STREET 13 730111,1.43794381737826,103.782059433299
ACUMED MEDICAL GROUP,CHAS Clinic,64 YUNG KUANG ROAD 610064,1.33237347600046,103.722451247982
ACUMED MEDICAL GROUP,CHAS Clinic,71 PIONEER ROAD 639591,1.31715448633568,103.652226413178
