ID,Category,Name,Coordinates,Interchange_Rating
1,MRT/LRT,EUNOS MRT STATION,"103.90325246673858,1.319778951553634",0
2,MRT/LRT,CHINESE GARDEN MRT STATION,"103.73259673807368,1.3423528208747413",0
3,MRT/LRT,KHATIB MRT STATION,"103.83297990773863,1.4173833701535437",0
4,MRT/LRT,KRANJI MRT STATION,"103.76216541090051,1.4251776987704452",0
5,MRT/LRT,REDHILL MRT STATION,"103.81681667014934,1.2895627264024503",0
6,MRT/LRT,YEW TEE MRT STATION,"103.74740511413825,1.3975350177934094",0
7,MRT/LRT,PIONEER MRT STATION,"103.69732151293638,1.3375868822047463",0
8,MRT/LRT,COMMONWEALTH MRT STATION,"103.79830451562928,1.3024387353271674",0
9,MRT/LRT,PAYA LEBAR MRT STATION,"103.89306035525192,1.3181120822952754",0
10,MRT/LRT,SIMEI MRT STATION,"103.95337169417603,1.3432028949307242",0
11,MRT/LRT,TAMPINES MRT STATION,"103.94514868864933,1.353301356342431",0
12,MRT/LRT,ADMIRALTY MRT STATION,"103.80098800081262,1.440585001085408",0
13,MRT/LRT,YISHUN MRT STATION,"103.8350050461949,1.4294430808107972",0
14,MRT/LRT,PASIR RIS MRT STATION,"103.94926811824573,1.3729837735794865",0
15,MRT/LRT,CLEMENTI MRT STATION,"103.76529887432669,1.3149544924235912",0
16,MRT/LRT,ALJUNIED MRT STATION,"103.88290604466073,1.316432611657835",0
17,MRT/LRT,ANG MO KIO MRT STATION,"103.84993299389015,1.3693473037885606",0
18,MRT/LRT,EXPO MRT STATION,"103.96154821070824,1.3345497778378088",0
19,MRT/LRT,CHOA CHU KANG MRT STATION,"103.74434094618185,1.3853616928288064",0
20,MRT/LRT,JURONG EAST MRT STATION,"103.742286544005,1.3331526198940624",0
21,MRT/LRT,QUEENSTOWN MRT STATION,"103.80588433389231,1.294860932794984",0
22,MRT/LRT,TUAS LINK MRT STATION,"103.63687867834915,1.3404637656482041",0
23,MRT/LRT,GUL CIRCLE MRT STATION,"103.66055295590829,1.3195052149382032",0
24,MRT/LRT,WOODLANDS MRT STATION,"103.78648513490775,1.4368751282107524",0
25,MRT/LRT,TUAS CRESCENT MRT STATION,"103.64907547830923,1.3210265532422623",0
26,MRT/LRT,KALLANG MRT STATION,"103.87138654135957,1.3114889096421598",0
27,MRT/LRT,TUAS WEST ROAD MRT STATION,"103.63961405603068,1.3299890890491324",0
28,MRT/LRT,BUONA VISTA MRT STATION,"103.79019153517402,1.3071834665473296",0
29,MRT/LRT,DOVER MRT STATION,"103.77863784163824,1.3114052929253044",0
30,MRT/LRT,SEMBAWANG MRT STATION,"103.8200461405486,1.4490508212272915",0
31,MRT/LRT,KEMBANGAN MRT STATION,"103.91294938836371,1.3210382488510815",0
32,MRT/LRT,BUKIT BATOK MRT STATION,"103.74956676385263,1.34903410857667",0
34,MRT/LRT,BOON LAY MRT STATION,"103.70606462259629,1.3386040545032705",0
35,MRT/LRT,BUKIT GOMBAK MRT STATION,"103.75189350208234,1.3587618572614426",0
36,MRT/LRT,MARSILING MRT STATION,"103.77407146126237,1.432514420635639",0
37,MRT/LRT,BEDOK MRT STATION,"103.92998449462085,1.3239799688877432",0
38,MRT/LRT,JOO KOON MRT STATION,"103.67837514285084,1.327717173091677",0
39,MRT/LRT,LAKESIDE MRT STATION,"103.72094926847906,1.344259249394694",0
40,MRT/LRT,TANAH MERAH MRT STATION,"103.94634646062303,1.3271871345383524",0
41,MRT/LRT,YIO CHU KANG MRT STATION,"103.84494728975453,1.3817560461130007",0
42,MRT/LRT,OASIS LRT STATION,"103.91272735563106,1.402286677493705",0
43,MRT/LRT,SAM KEE LRT STATION,"103.90483155051895,1.409612685086604",0
44,MRT/LRT,FARMWAY LRT STATION,"103.88930481043604,1.3971701964580394",0
45,MRT/LRT,KUPANG LRT STATION,"103.88125622197447,1.3982128283971724",0
46,MRT/LRT,RENJONG LRT STATION,"103.8905394271554,1.3867239215279972",0
47,MRT/LRT,BUKIT PANJANG LRT STATION,"103.76301363378569,1.3779098979822",0
48,MRT/LRT,FAJAR LRT STATION,"103.77080858250892,1.3845207961752204",0
50,MRT/LRT,PUNGGOL LRT STATION,"103.90241191198504,1.4051947013024295",0
51,MRT/LRT,SAMUDERA LRT STATION,"103.90215631639114,1.4159017194387642",0
52,MRT/LRT,NIBONG LRT STATION,"103.90031381767348,1.411870458453224",0
53,MRT/LRT,SOO TECK LRT STATION,"103.89720965031772,1.405088584853961",0
54,MRT/LRT,KADALOOR LRT STATION,"103.91648666197361,1.3995848527611061",0
55,MRT/LRT,CORAL EDGE LRT STATION,"103.91258085480962,1.3939092261174832",0
56,MRT/LRT,THANGGAM LRT STATION,"103.875635156456,1.3973181549952196",0
57,MRT/LRT,KEAT HONG LRT STATION,"103.74905551939963,1.3786027659830227",0
58,MRT/LRT,DAMAI LRT STATION,"103.90860354364459,1.4052348361719877",0
59,MRT/LRT,COVE LRT STATION,"103.90596194407671,1.3992819850199294",0
60,MRT/LRT,RIVIERA LRT STATION,"103.91616605898797,1.3945244957690093",0
61,MRT/LRT,SENJA LRT STATION,"103.76236722595078,1.382692295824158",0
62,MRT/LRT,JELAPANG LRT STATION,"103.76450333815912,1.3867030250139176",0
63,MRT/LRT,PETIR LRT STATION,"103.7666689602233,1.3777503338172186",0
64,MRT/LRT,TECK WHYE LRT STATION,"103.75371223219976,1.376684679443904",0
65,MRT/LRT,CHOA CHU KANG LRT STATION,"103.7445537312414,1.3848363599658227",0
66,MRT/LRT,SOUTH VIEW LRT STATION,"103.74529180004262,1.380298287217279",0
67,MRT/LRT,LAYAR LRT STATION,"103.88002960034996,1.3920798387725961",0
68,MRT/LRT,KANGKAR LRT STATION,"103.90217398876608,1.3839789018335358",0
69,MRT/LRT,MERIDIAN LRT STATION,"103.90895021696649,1.3969120530632706",0
70,MRT/LRT,CHENG LIM LRT STATION,"103.89379718083637,1.3962776313358056",0
71,MRT/LRT,PUNGGOL POINT LRT STATION,"103.90665079046649,1.4168485204957642",0
72,MRT/LRT,SUMANG LRT STATION,"103.89855845405019,1.4084524256476925",0
73,MRT/LRT,FERNVALE LRT STATION,"103.87630861136874,1.391885887744099",0
74,MRT/LRT,TONGKANG LRT STATION,"103.88584414990798,1.3893479529596915",0
76,MRT/LRT,PENDING LRT STATION,"103.77127017861255,1.3761428827850453",0
77,MRT/LRT,TECK LEE LRT STATION,"103.90657762270219,1.4127708938635442",0
80,MRT/LRT,BANGKIT LRT STATION,"103.77264907257147,1.3800178972420893",0
81,MRT/LRT,BAKAU LRT STATION,"103.90543910424039,1.3880927037751065",0
82,MRT/LRT,RUMBIA LRT STATION,"103.90597359531118,1.391468496838552",0
83,MRT/LRT,COMPASSVALE LRT STATION,"103.90049245062795,1.394493046198061",0
89,MRT/LRT,RANGGUNG LRT STATION,"103.89753716196984,1.3838854419159148",0
90,MRT/LRT,PHOENIX LRT STATION,"103.75803409838677,1.378618844452898",0
91,MRT/LRT,SEGAR LRT STATION,"103.76959839678055,1.387772130860871",0
92,MRT/LRT,SENGKANG LRT STATION,"103.89544258366469,1.3916093638162625",0
93,MRT/LRT,BRAS BASAH MRT STATION,"103.8506673717784,1.29686168652761",0
94,MRT/LRT,MACPHERSON MRT STATION,"103.8902870313664,1.326345371661255",0
95,MRT/LRT,CITY HALL MRT STATION,"103.85258589234446,1.2929362428460898",0
96,MRT/LRT,TAMPINES EAST MRT STATION,"103.95463446292973,1.3561914830369988",0
97,MRT/LRT,TAMPINES WEST MRT STATION,"103.93843697135364,1.345515305301687",0
98,MRT/LRT,GEYLANG BAHRU MRT STATION,"103.8719006257067,1.3215058380176015",0
99,MRT/LRT,BENDEMEER MRT STATION,"103.86297798747471,1.313672232544493",0
100,MRT/LRT,BENCOOLEN MRT STATION,"103.85038425491675,1.2988642704173563",0
101,MRT/LRT,HARBOURFRONT MRT STATION,"103.82144306908835,1.2654726398620932",0
104,MRT/LRT,KENT RIDGE MRT STATION,"103.78442746062676,1.2934960617448015",0
106,MRT/LRT,PUNGGOL MRT STATION,"103.90207263840725,1.4045467277879453",0
107,MRT/LRT,TANJONG PAGAR MRT STATION,"103.84586422934751,1.2765212466930367",0
108,MRT/LRT,ONE-NORTH MRT STATION,"103.78745750783136,1.2997598785919828",0
110,MRT/LRT,STADIUM MRT STATION,"103.8753503351789,1.302840629633221",0
111,MRT/LRT,BUGIS MRT STATION,"103.85570641401688,1.3004650763152474",0
112,MRT/LRT,SOMERSET MRT STATION,"103.83907516234414,1.300260055065435",0
113,MRT/LRT,ORCHARD MRT STATION,"103.83224145206776,1.3039810124368738",0
114,MRT/LRT,JALAN BESAR MRT STATION,"103.85547701633953,1.3054036422232496",0
115,MRT/LRT,BAYFRONT MRT STATION,"103.8590797651326,1.2818737884915348",0
