,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,lat,long,isLatLongAvailable
0,2017-01,ANG MO KIO,2 ROOM,406 ANG MO KIO AVE 10,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 04 months,232000.0,,,
1,2017-01,ANG MO KIO,3 ROOM,108 ANG MO KIO AVE 4,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,60 years 07 months,250000.0,,,
2,2017-01,ANG MO KIO,3 ROOM,602 ANG MO KIO AVE 5,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,262000.0,,,
3,2017-01,ANG MO KIO,3 ROOM,465 ANG MO KIO AVE 10,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,62 years 01 month,265000.0,,,
4,2017-01,ANG MO KIO,3 ROOM,601 ANG MO KIO AVE 5,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,265000.0,,,
5,2017-01,ANG MO KIO,3 ROOM,150 ANG MO KIO AVE 5,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,63 years,275000.0,,,
6,2017-01,ANG MO KIO,3 ROOM,447 ANG MO KIO AVE 10,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,280000.0,,,
7,2017-01,ANG MO KIO,3 ROOM,218 ANG MO KIO AVE 1,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,58 years 04 months,285000.0,,,
8,2017-01,ANG MO KIO,3 ROOM,447 ANG MO KIO AVE 10,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,285000.0,,,
9,2017-01,ANG MO KIO,3 ROOM,571 ANG MO KIO AVE 3,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,61 years 04 months,285000.0,,,
