,Unnamed: 0,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure,num_malls,num_taxi_stands,num_primary_schools,num_mrt,num_hawker,num_carparks,num_bus_stops,num_chas_clinics,num_sports_facilities,num_community_centers,num_supermarkets,num_secondary_schools
0,0,COVE DRIVE,TURQUOISE,CCR,1.2729546766736342,103.80643708167352,15592.351906852571,4,99 yrs lease commencing from 2007,1,0,1,2,1,0,0,10,3,1,4,0
1,1,ALEXANDRA VIEW,ARTRA,RCR,1.2532579392766388,103.85371990063398,19226.53938437133,3,99 yrs lease commencing from 2016,0,0,0,0,0,0,0,0,0,0,0,0
2,2,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,1.26642981329282,103.8462439586508,16778.80184331797,3,9999 yrs lease commencing from 1963,1,3,0,0,0,0,10,2,0,0,3,0
3,3,BEACH ROAD,CITY GATE,RCR,1.2986245370154614,103.86595797490442,20768.717993988583,7,99 yrs lease commencing from 2014,5,8,0,3,2,6,26,8,5,1,5,0
4,4,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,1.2797893460680951,103.80926663920398,16672.60910394189,4,99 yrs lease commencing from 2006,1,1,2,0,4,10,15,12,2,2,6,1
5,5,PASIR PANJANG ROAD,THE FOLIAGE,RCR,1.209850285698427,103.85470345032503,14157.286317622023,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
6,6,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,1.28844263699724,103.84409687837366,20441.911211421542,1,99 yrs lease commencing from 2007,6,34,0,7,7,5,58,22,22,2,11,1
7,7,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,1.2737064819005397,103.83981466687274,22894.247858051163,2,Freehold,2,13,1,3,3,5,38,15,14,2,6,0
8,8,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,1.2590021535208664,103.83040076323744,15950.025810983874,4,Freehold,0,0,0,0,0,1,0,1,0,0,0,0
9,9,SHENTON WAY,V ON SHENTON,CCR,1.2854615272334893,103.84085628077004,24447.85968919848,1,99 yrs lease commencing from 2011,3,35,0,7,8,10,60,23,26,2,11,1
10,10,BENCOOLEN STREET,BURLINGTON SQUARE,RCR,1.2890028327434675,103.86585415919568,13440.894103762925,7,99 yrs lease commencing from 1996,4,5,0,1,0,3,11,0,1,0,1,0
11,11,MOUNT FABER ROAD,MOUNT FABER LODGE,RCR,1.26075649938886,103.83272587332868,12445.72668216362,4,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
12,12,SHENTON WAY,ONE SHENTON,CCR,1.286841679163728,103.84305355693527,18105.7493281494,1,99 yrs lease commencing from 2005,4,35,0,7,8,4,54,22,28,2,12,1
13,13,BEACH ROAD,MIDTOWN BAY,CCR,1.2937017454273034,103.86000554949754,32128.216246264903,7,99 yrs lease commencing from 2018,12,18,0,5,0,8,46,13,11,0,10,0
14,14,DOVER RISE,HERITAGE VIEW,RCR,1.2201381411473136,103.86801311171946,12785.985602479112,5,99 yrs lease commencing from 1996,0,0,0,0,0,0,0,0,0,0,0,0
15,15,WEST COAST WAY,CARABELLE,OCR,1.1919386750784484,103.88076535489505,13969.718965950162,5,956 yrs lease commencing from 1928,0,0,0,0,0,0,0,0,0,0,0,0
16,16,MOUNT FABER ROAD,THE PEARL @ MOUNT FABER,RCR,1.2608334024568792,103.83418413923772,12759.10445822308,4,99 yrs lease commencing from 2002,0,0,0,0,0,0,0,0,0,0,0,0
17,17,ZEHNDER ROAD,BUONA VISTA GARDENS,RCR,1.222261326227179,103.84703578152804,12153.222063324803,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
18,18,PEARL BANK,PEARL BANK APARTMENT,RCR,1.2760339900253317,103.84669640982656,8833.424751749766,3,99 yrs lease commencing from 1970,4,33,1,7,5,6,44,36,29,2,14,0
19,19,YEW SIANG ROAD,FRAGRANCE COURT,RCR,1.2290387269240064,103.84105725948146,12452.431289640592,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
20,20,PASIR PANJANG ROAD,LIIV RESIDENCES,RCR,1.2124361960751069,103.85221301096009,17235.4722381101,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
21,21,PRINCE CHARLES CRESCENT,THE CREST,RCR,1.256599706612047,103.85678672717054,20745.3880245482,3,99 yrs lease commencing from 2012,0,0,0,0,0,0,0,0,0,0,0,0
22,22,PRINSEP LINK,SUNSHINE PLAZA,RCR,1.28697695425665,103.86409333427532,13852.12385878083,7,99 yrs lease commencing from 1997,4,6,0,3,0,4,18,1,1,0,2,0
23,23,YEW SIANG ROAD,FLYNN PARK,RCR,1.228657987911272,103.84267618823198,12798.080615613148,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
