,project_id,condo_street,project,condo_market_segment,lat,long,price_per_sqm,district,condo_commonest_tenure,apartment_type,project_type,hdb_avg_floor_area_sqm,hdb_avg_resale_price,hdb_postal_code,feature_ids_clinic,feature_ids_hawker_center,feature_ids_mall,feature_ids_park,feature_ids_primary_school,feature_ids_secondary_school,feature_ids_supermarket,feature_ids_bus_stop,feature_ids_carpark,feature_ids_mrt,feature_ids_eating_establishment,feature_ids_taxi_stand,num_clinic,quality_clinic,num_hawker_center,quality_hawker_center,num_mall,quality_mall,num_park,quality_park,num_primary_school,quality_primary_school,num_secondary_school,quality_secondary_school,num_supermarket,quality_supermarket,num_bus_stop,num_carpark,num_mrt,num_eating_establishment,num_taxi_stand
0,0,COVE DRIVE,TURQUOISE,CCR,1.2424409850962668,103.83675517458336,15570.33369730509,4,99 yrs lease commencing from 2007,condominium,condo,,,,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q1,q1,q1,q1
1,1,ALEXANDRA VIEW,ARTRA,RCR,1.2900306705735745,103.81718527391092,19221.8244350349,3,99 yrs lease commencing from 2016,condominium,condo,,,,"{57, 134}","{201, 244, 246, 279}",set(),{569},{748},"{865, 894, 940, 881}","{1034, 1082, 1085}",set(),set(),{1561},set(),"{2040, 2049, 2042}",q2,q4,q4,q4,q1,q4,q2,q4,q2,q4,q4,q4,q4,q4,q1,q1,q1,q1,q4
2,2,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,1.2825061550750398,103.8302722903073,16778.801843317968,3,9999 yrs lease commencing from 1963,condominium,condo,,,,"{153, 110}","{302, 240, 308, 246, 215}",{376},{569},"{768, 774}",{930},"{1057, 1059, 1060, 1095, 1104, 1049}","{1312, 1313, 1314, 1315, 1318, 1319, 1307, 1308, 1311}","{1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427}","{1672, 1732, 1716}",set(),"{2038, 2039}",q2,q4,q4,q4,q2,q4,q2,q4,q4,q4,q2,q4,q4,q4,q4,q4,q4,q1,q2
3,3,BEACH ROAD,CITY GATE,RCR,1.3023475431295195,103.86226001233264,20725.023997420383,7,99 yrs lease commencing from 2014,condominium,condo,,,,{111},"{241, 300, 257, 262}","{321, 323, 324, 325, 331, 333, 369}","{620, 524}",{835},set(),"{1064, 1096, 1128, 1072, 1073, 1107, 1076}","{1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1194, 1195, 1196, 1197, 1332, 1207, 1208, 1335, 1337, 1342, 1343, 1344, 1347, 1350, 1354}","{1395, 1419, 1550}","{1656, 1666, 1653, 1695}","{1916, 1746, 1747, 1748}","{1954, 1955, 2024, 2026, 2027, 2028, 1939, 1940, 1941, 2069, 1944}",q1,q4,q4,q4,q4,q4,q4,q4,q2,q4,q1,q4,q4,q4,q4,q4,q4,q4,q4
4,4,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,1.2452889471814053,103.8435456932676,16626.20433853776,4,99 yrs lease commencing from 2006,condominium,condo,,,,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q1,q1,q1,q1
5,5,PASIR PANJANG ROAD,THE FOLIAGE,RCR,1.2910203128569078,103.77405714193232,13965.335909884872,5,Freehold,condominium,condo,,,,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q4,q1,q1,q1,q1,q1
6,6,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,1.2803449800408624,103.8521432776598,20441.91121142155,1,99 yrs lease commencing from 2007,condominium,condo,,,,"{197, 11, 156, 45}","{265, 235, 248, 251, 223}","{345, 346, 347, 372}","{654, 614, 615}",set(),set(),"{1088, 1090, 1091, 1105, 1074, 1108, 1054}","{1280, 1285, 1286, 1287, 1288, 1292, 1293, 1294, 1298, 1198, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1228, 1229, 1230, 1238, 1239, 1244, 1245, 1246, 1247, 1248, 1274}",{1384},"{1664, 1668, 1733, 1734, 1650, 1714, 1718, 1657}","{1749, 1750, 1751, 1752, 1753, 1754, 1755, 1756, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778, 1779, 1780, 1781, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818, 1819, 1820, 1821, 1822, 1823, 1824, 1825, 1826, 1827, 1828, 1829, 1830, 1831, 1832, 1833, 1834, 1835, 1836, 1837, 1838, 1839, 1840, 1841, 1842, 1843, 1844, 1845, 1846, 1847, 1848, 1849, 1850, 1851, 1853, 1854, 1855, 1856, 1857, 1858, 1859, 1860, 1861, 1862, 1863, 1864, 1865, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882, 1883, 1884, 1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915}","{1971, 1977, 1978, 1979, 1980, 1981, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 2000, 2001, 2002, 2003, 2005, 2006, 2007, 2008, 2009, 2010}",q4,q4,q4,q4,q4,q4,q4,q4,q1,q4,q1,q4,q4,q4,q4,q4,q4,q4,q4
7,7,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,1.276035116078278,103.83750204635528,22894.24785805116,2,Freehold,condominium,condo,,,,"{168, 138, 39}","{210, 251, 206}","{372, 319}",{655},{812},set(),"{1088, 1057, 1060, 1095, 1067, 1099, 1075}","{1281, 1284, 1289, 1290, 1291, 1292, 1293, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1311, 1227, 1228, 1230, 1275, 1277}",set(),"{1650, 1716, 1733}",set(),"{1996, 1965, 1966, 1967, 1968, 1997, 1998, 1999, 2000, 2004, 2037, 2008, 1979, 1982}",q4,q4,q4,q4,q4,q4,q2,q4,q2,q4,q1,q4,q4,q4,q4,q1,q4,q1,q4
8,8,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,1.2665601059288716,103.8228925155598,15950.025810983878,4,Freehold,condominium,condo,,,,{158},{214},"{465, 466}",set(),{701},set(),set(),set(),"{1363, 1365, 1366}",{1647},set(),"{2041, 2036}",q1,q4,q1,q4,q4,q4,q1,q4,q2,q4,q1,q4,q1,q4,q1,q4,q1,q1,q2
9,9,SHENTON WAY,V ON SHENTON,CCR,1.2770834071094717,103.84918134351813,24567.917058258965,1,99 yrs lease commencing from 2011,condominium,condo,,,,"{197, 11, 156, 45}","{265, 235, 206, 210, 248, 251, 223}","{346, 347, 372, 319}","{654, 614, 655}",set(),set(),"{1088, 1091, 1067, 1099, 1105, 1075, 1054}","{1281, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1304, 1306, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1238, 1239, 1247, 1248, 1274}",set(),"{1664, 1668, 1733, 1734, 1650, 1714, 1718}","{1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1851, 1853, 1854, 1855, 1856, 1857, 1858, 1859, 1860, 1861, 1862, 1863, 1864, 1865, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1879, 1880, 1881, 1882, 1883, 1884, 1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915}","{1966, 1967, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2004, 2006, 2007, 2008, 2009, 2010}",q4,q4,q4,q4,q4,q4,q4,q4,q1,q4,q1,q4,q4,q4,q4,q1,q4,q4,q4
