,project_id,condo_street,project,condo_market_segment,lat,long,price_per_sqm,district,condo_commonest_tenure,apartment_type,project_type,hdb_avg_floor_area_sqm,hdb_avg_resale_price,hdb_postal_code,feature_ids_clinic,feature_ids_hawker_center,feature_ids_mall,feature_ids_park,feature_ids_primary_school,feature_ids_secondary_school,feature_ids_supermarket,feature_ids_bus_stop,feature_ids_carpark,feature_ids_mrt,feature_ids_eating_establishment,feature_ids_taxi_stand,num_clinic,quality_clinic,num_hawker_center,quality_hawker_center,num_mall,quality_mall,num_park,quality_park,num_primary_school,quality_primary_school,num_secondary_school,quality_secondary_school,num_supermarket,quality_supermarket,num_bus_stop,quality_bus_stop,num_carpark,quality_carpark,num_mrt,quality_mrt,num_eating_establishment,quality_eating_establishment,num_taxi_stand,quality_taxi_stand
0,0,COVE DRIVE,TURQUOISE,CCR,1.2424409850962668,103.83675517458336,15570.33369730509,4,99 yrs lease commencing from 2007,condominium,condo,,,,set(),set(),set(),set(),set(),set(),"{2361, 2356}",set(),set(),set(),set(),set(),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.125,0.30129154985979767,0.0,,0.0,,0.0,,0.0,,0.0,
1,1,ALEXANDRA VIEW,ARTRA,RCR,1.2900306705735745,103.81718527391092,19221.8244350349,3,99 yrs lease commencing from 2016,condominium,condo,,,,"{517, 134, 504, 520, 682, 746, 270, 625, 785, 949, 248, 57}",set(),set(),{1361},{1687},"{1809, 1884, 1838, 1825}","{2023, 2026, 2416, 1976, 2233}","{2688, 2689, 2690, 2695, 2696, 2697, 2698, 2699, 2700, 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708, 2709, 2710, 2711, 2712, 2717, 2718, 2721, 2722, 2723, 2724, 2725, 2726, 2727, 2728, 2729, 2730, 2731, 2732, 2733, 2734, 2735, 2736, 2737, 2738, 2742, 2743, 2744, 2651, 2665, 2666, 2667, 2668, 2669, 2670, 2671, 2681, 2682, 2683, 2684, 2685, 2686, 2687}","{3207, 3208, 3209, 3210, 3341, 3214, 3215, 3216, 3217, 3342, 3343, 3344, 3345, 3346, 3347, 3348, 3349, 3350, 3351, 3352, 3353, 3292, 3293, 3294}",{3424},set(),"{4581, 4590, 4583}",0.29268292682926833,0.832701978287048,0.0,,0.0,,0.08333333333333333,0.010343170505279886,0.125,0.805777911525638,0.8,0.41303332854474206,0.3125,0.2894072887470429,0.7866666666666667,,0.5581395348837209,,0.1,,0.0,,0.061224489795918366,
2,2,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,1.2825061550750398,103.8302722903073,16778.801843317968,3,9999 yrs lease commencing from 1963,condominium,condo,,,,"{480, 545, 739, 217, 550, 489, 619, 715, 365, 110, 564, 153, 444, 316, 766}",set(),{1168},"{1544, 1361, 1534}","{1714, 1707}",{1874},"{1990, 2406, 1998, 2000, 2001, 2036, 2045, 2398}","{2691, 2692, 2693, 2694, 2570, 2571, 2574, 2575, 2576, 2577, 2578, 2581, 2582, 2713, 2714, 2715, 2716, 2717, 2718, 2719, 2720, 2739, 2740, 2652, 2653, 2656, 2657, 2658, 2659, 2660, 2661, 2662, 2663, 2664, 2665, 2919, 2672, 2673, 2676, 2677, 2678, 2679, 2680, 2681, 2682}","{3336, 3337, 3338, 3339, 3340, 3219, 3347, 3348, 3349, 3350, 3351, 3352, 3226, 3227, 3228, 3366, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990}","{3595, 3579, 3535}",set(),"{4579, 4580}",0.36585365853658536,0.8366289308409023,0.0,,0.047619047619047616,0.05754315233264151,0.25,0.001556803673935292,0.25,0.7757598555521668,0.2,0.2750466886941467,0.5,0.23537244693625325,0.6000000000000001,,0.5581395348837209,,0.30000000000000004,,0.0,,0.04081632653061224,
3,3,BEACH ROAD,CITY GATE,RCR,1.3023475431295195,103.86226001233264,20725.023997420383,7,99 yrs lease commencing from 2014,condominium,condo,,,,"{774, 969, 458, 490, 204, 780, 111, 789, 790, 474, 509, 223}",set(),"{1123, 1125, 1161, 1113, 1115, 1116, 1117}","{1576, 1316, 1413, 1567}",{1779},set(),"{2048, 2017, 2241, 2401, 2405, 2224, 2005, 2037, 2069, 2236, 2013, 2014, 2239}","{2432, 2433, 2434, 2435, 2436, 2437, 2438, 2439, 2440, 2441, 2442, 2443, 2444, 2445, 2446, 2447, 2448, 2449, 2450, 2451, 2452, 2453, 2454, 2457, 2458, 2459, 2460, 2595, 2470, 2471, 2598, 2600, 2605, 2606, 2607, 2610, 2613, 2617, 2424, 2425, 2426, 2427, 2428, 2429, 2430, 2431}","{3298, 3299, 3300, 3301, 2982, 3302, 3113, 2958, 3317}","{3529, 3516, 3558, 3519}","{3609, 3610, 3611, 3779, 3782, 3783, 3784, 3785, 3786, 3787, 3788, 3789, 3790, 3791, 3792, 3793, 3794, 3795, 3796, 3797, 3798, 3799, 3800, 3801, 3802, 3803, 3804, 3805, 3806, 3807, 3808, 3809, 3810, 3811, 3812, 3813, 3814, 3815, 3816, 3817, 3818, 3819, 3820, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3828, 3834, 3835, 3836, 3837, 3838, 3839, 3840, 3841, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3851, 3852, 3853, 3854, 3855, 3856, 3857, 3858, 3859, 3860, 3861, 3862, 3863, 3864, 3865, 3866, 3867, 3868, 3869, 3870, 3871, 3872, 3873, 3874, 3875, 3876, 3877, 3878, 3879, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3894, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3903, 3904, 3905, 3906, 3907, 3908, 3909, 3910, 3911, 3912, 3913, 3914, 3915, 3916, 3917, 3918, 3919, 3920, 3921, 3922, 3923, 3924, 3925, 3926}","{4480, 4481, 4482, 4610, 4485, 4495, 4496, 4565, 4567, 4568, 4569}",0.29268292682926833,0.8121126382593502,0.0,,0.3333333333333333,0.0480311672988023,0.3333333333333333,0.00044994251801000473,0.125,0.7399939813421383,0.0,,0.8125,0.4054131624616275,0.6133333333333334,,0.20930232558139533,,0.4,,0.2571428571428571,,0.22448979591836732,
4,4,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,1.2452889471814053,103.8435456932676,16626.20433853776,4,99 yrs lease commencing from 2006,condominium,condo,,,,set(),set(),set(),set(),set(),set(),"{2361, 2356}",set(),set(),set(),set(),set(),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.125,0.30129154985979767,0.0,,0.0,,0.0,,0.0,,0.0,
5,5,PASIR PANJANG ROAD,THE FOLIAGE,RCR,1.2910203128569078,103.77405714193232,13965.335909884872,5,Freehold,condominium,condo,,,,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
6,6,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,1.2803449800408624,103.8521432776598,20441.91121142155,1,99 yrs lease commencing from 2007,condominium,condo,,,,"{385, 898, 900, 903, 11, 655, 156, 803, 804, 807, 45, 817, 819, 950, 824, 576, 197, 711, 839, 207, 592, 337, 473, 345, 349, 231, 239, 751}",set(),"{1137, 1138, 1139, 1164}","{1408, 1447, 1495, 1529, 1596, 1407}",set(),set(),"{2049, 2402, 1995, 2029, 2031, 2032, 2419, 2238, 2046, 2015}","{2561, 2461, 2478, 2479, 2480, 2481, 2482, 2483, 2484, 2485, 2486, 2487, 2488, 2489, 2491, 2492, 2493, 2501, 2502, 2507, 2508, 2509, 2510, 2511, 2537, 2543, 2548, 2549, 2550, 2551, 2555, 2556, 2557}","{3360, 2947}","{3520, 3527, 3531, 3596, 3577, 3597, 3513, 3581}","{4096, 4097, 4098, 4099, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4120, 4130, 4131, 4135, 4136, 4137, 4140, 4141, 4142, 4143, 4144, 4145, 4146, 4147, 4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4162, 4163, 4164, 4165, 4166, 4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 4176, 4177, 4178, 4179, 4180, 4181, 4182, 4183, 4184, 4185, 4186, 4187, 4188, 4189, 4190, 4191, 4192, 4193, 4194, 4195, 4196, 4197, 4198, 4199, 4200, 4201, 4202, 4203, 4204, 4205, 4206, 4207, 4208, 4209, 4210, 4211, 4212, 4221, 4222, 4223, 4224, 4225, 4226, 4227, 4228, 4229, 4231, 4232, 4233, 4234, 4235, 4236, 4237, 4244, 4245, 4246, 4250, 4251, 4252, 4263, 4264, 4265, 4266, 4267, 4282, 4283, 4284, 4285, 4289, 4290, 4291, 4292, 4293, 4294, 4295, 4296, 4297, 4298, 4299, 4300, 4301, 4302, 4303, 4304, 4305, 4306, 4307, 4308, 4309, 4310, 4311, 4312, 4313, 4314, 4315, 4316, 4317, 4318, 4319, 4320, 4321, 4322, 4323, 4324, 4325, 4326, 4327, 4328, 4329, 4330, 4331, 4332, 4333, 4334, 4335, 4336, 4337, 4338, 4339, 4340, 4341, 4342, 4343, 4344, 4345, 4346, 4347, 4348, 4349, 4350, 4356, 4357, 4358, 4359, 4360, 4361, 4362, 4363, 4364, 4365, 4366, 4367, 4368, 4369, 4370, 4371, 4372, 4373, 4374, 4375, 4376, 4377, 4378, 4379, 4380, 4381, 4408, 4409, 4410, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4418, 4419, 4420, 4435, 4436, 4437, 4438, 4439, 4440, 4441, 4442, 4443, 4444, 4445, 4446, 4447, 4448, 4449, 4450, 4451, 4452, 4453, 4454, 4455, 4456, 4457, 4458, 4459, 3612, 3613, 3614, 3615, 3616, 3617, 3618, 3619, 3621, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3631, 3632, 3633, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3642, 3643, 3644, 3645, 3646, 3647, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656, 3657, 3658, 3659, 3660, 3661, 3662, 3663, 3664, 3665, 3666, 3667, 3668, 3669, 3670, 3671, 3672, 3673, 3674, 3675, 3676, 3677, 3678, 3679, 3680, 3681, 3682, 3683, 3684, 3685, 3686, 3687, 3688, 3689, 3690, 3691, 3692, 3693, 3694, 3695, 3696, 3697, 3698, 3699, 3700, 3701, 3702, 3703, 3704, 3705, 3706, 3707, 3708, 3709, 3710, 3711, 3712, 3713, 3714, 3716, 3717, 3718, 3719, 3720, 3721, 3722, 3723, 3724, 3725, 3726, 3727, 3728, 3729, 3730, 3731, 3732, 3733, 3734, 3735, 3736, 3737, 3738, 3739, 3740, 3741, 3742, 3743, 3744, 3745, 3746, 3747, 3761, 3762, 3763, 3764, 3765, 3766, 3767, 3768, 3769, 3770, 3771, 3772, 3773, 3774, 3775, 3776, 3777, 3778, 3927, 3928, 3929, 3930, 3931, 3932, 3933, 3934, 3935, 3936, 3937, 3938, 3939, 3940, 3941, 3942, 3943, 3944, 3945, 3946, 3947, 3948, 3949, 3950, 3951, 3952, 3953, 3954, 3955, 3956, 3957, 3958, 3959, 3960, 3961, 3962, 3963, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3973, 3974, 3975, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 3999, 4000, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4035, 4036, 4037, 4038, 4039, 4040, 4041, 4042, 4043, 4044, 4045, 4046, 4047, 4048, 4049, 4050, 4051, 4052, 4053, 4054, 4055, 4056, 4057, 4058}","{4512, 4518, 4519, 4520, 4521, 4522, 4524, 4525, 4526, 4527, 4528, 4529, 4530, 4531, 4532, 4533, 4534, 4535, 4536, 4537, 4541, 4542, 4543, 4544, 4546, 4547, 4548, 4549, 4550, 4551}",0.6829268292682927,0.8198741499456332,0.0,,0.19047619047619047,0.07134724994747899,0.5,0.0013101229766121492,0.0,,0.0,,0.625,0.28644373248016564,0.44,,0.046511627906976744,,0.8,,0.9232142857142857,,0.6122448979591836,
7,7,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,1.276035116078278,103.83750204635528,22894.24785805116,2,Freehold,condominium,condo,,,,"{672, 898, 804, 231, 168, 39, 138, 276, 247, 984, 348, 895}",set(),"{1164, 1111}","{1448, 1498}",{1753},set(),"{2016, 2402, 2408, 2029, 1998, 2001, 2036, 2008, 2040}","{2560, 2561, 2562, 2563, 2564, 2565, 2566, 2567, 2568, 2569, 2570, 2571, 2574, 2719, 2720, 2739, 2490, 2491, 2493, 2652, 2653, 2654, 2655, 2656, 2657, 2658, 2659, 2660, 2661, 2538, 2540, 2544, 2547, 2552, 2553, 2554, 2555, 2556, 2558, 2559}","{3296, 3297, 3315, 3316, 3295}","{3513, 3579, 3596}","{4352, 4353, 4354, 4355, 4356, 4357, 4358, 4359, 4360, 4361, 4362, 4363, 4108, 4364, 4365, 4366, 4367, 4368, 4369, 4370, 4116, 4117, 4371, 4372, 4120, 4373, 4374, 4375, 4408, 4409, 4410, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4418, 4419, 4420, 4421, 4422, 4423, 4424, 4425, 4426, 4427, 4428, 4429, 4430, 4431, 4432, 4309, 4310, 4311, 4312, 4313, 4314, 4210, 4211, 4212, 4345, 4346, 4347, 4348, 4349, 4350, 4351}","{4545, 4578, 4549, 4540, 4520, 4523, 4538, 4539, 4537, 4506, 4507, 4508, 4509, 4541}",0.29268292682926833,0.8444893359883849,0.0,,0.09523809523809523,0.05659795162472392,0.16666666666666666,0.006710169648698638,0.125,0.9490821546795019,0.0,,0.5625,0.3323388065673498,0.5333333333333333,,0.11627906976744186,,0.30000000000000004,,0.1232142857142857,,0.2857142857142857,
8,8,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,1.2665601059288716,103.8228925155598,15950.025810983878,4,Freehold,condominium,condo,,,,"{838, 678, 810, 436, 158}",set(),"{1257, 1258}",set(),{1635},set(),"{2392, 2322, 2335}","{2913, 2914, 2915, 2916, 2917}","{2926, 2928, 2929, 3218, 3219}",{3510},set(),"{4577, 4582}",0.12195121951219512,0.7905919354007551,0.0,,0.09523809523809523,0.5500510939324386,0.0,,0.125,0.8386999699066564,0.0,,0.1875,0.7792150580703492,0.06666666666666667,,0.11627906976744186,,0.1,,0.0,,0.04081632653061224,
9,9,SHENTON WAY,V ON SHENTON,CCR,1.2770834071094717,103.84918134351813,24567.917058258965,1,99 yrs lease commencing from 2011,condominium,condo,,,,"{385, 898, 900, 903, 11, 655, 276, 156, 672, 803, 804, 807, 45, 817, 819, 950, 824, 576, 197, 711, 839, 207, 592, 984, 473, 345, 348, 349, 231, 239, 751, 247, 895}",set(),"{1138, 1139, 1164, 1111}","{1447, 1448, 1495, 1596, 1407}",set(),set(),"{2016, 2402, 2408, 1995, 2029, 2032, 2008, 2040, 2238, 2046}","{2560, 2561, 2562, 2563, 2564, 2565, 2567, 2569, 2479, 2480, 2481, 2482, 2483, 2484, 2485, 2486, 2487, 2488, 2489, 2490, 2491, 2492, 2493, 2501, 2502, 2510, 2511, 2537, 2544, 2549, 2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559}",{3360},"{3527, 3531, 3596, 3577, 3597, 3513, 3581}","{4096, 4097, 4098, 4099, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4130, 4131, 4132, 4133, 4134, 4169, 4170, 4171, 4172, 4173, 4183, 4184, 4185, 4186, 4187, 4189, 4190, 4191, 4205, 4206, 4207, 4208, 4209, 4210, 4211, 4212, 4221, 4222, 4223, 4224, 4225, 4226, 4227, 4228, 4229, 4238, 4239, 4240, 4241, 4242, 4243, 4244, 4245, 4246, 4263, 4264, 4265, 4266, 4267, 4282, 4283, 4284, 4285, 4286, 4287, 4288, 4294, 4295, 4296, 4297, 4298, 4299, 4300, 4301, 4302, 4303, 4304, 4305, 4306, 4307, 4308, 4309, 4310, 4311, 4312, 4313, 4314, 4315, 4316, 4317, 4318, 4319, 4320, 4321, 4322, 4323, 4324, 4325, 4326, 4327, 4328, 4329, 4330, 4331, 4332, 4333, 4334, 4335, 4336, 4337, 4338, 4339, 4340, 4341, 4342, 4343, 4344, 4345, 4346, 4347, 4348, 4349, 4350, 4351, 4352, 4353, 4354, 4355, 4356, 4357, 4358, 4359, 4360, 4361, 4362, 4363, 4364, 4365, 4366, 4367, 4368, 4369, 4370, 4371, 4372, 4373, 4374, 4375, 4376, 4377, 4378, 4379, 4380, 4381, 4408, 4409, 4410, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4418, 4419, 4420, 4421, 4422, 4423, 4424, 4425, 4426, 4427, 4428, 4429, 4430, 4431, 4432, 4436, 4437, 4438, 4439, 4440, 4441, 4442, 4443, 4444, 4445, 4446, 4447, 4448, 4449, 4450, 4451, 4452, 4453, 4454, 4455, 4456, 4457, 4458, 4459, 3621, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3631, 3632, 3633, 3634, 3635, 3647, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656, 3657, 3658, 3659, 3660, 3661, 3662, 3663, 3664, 3665, 3666, 3667, 3668, 3669, 3670, 3714, 3716, 3717, 3718, 3719, 3720, 3721, 3722, 3723, 3724, 3725, 3726, 3727, 3728, 3729, 3730, 3731, 3732, 3733, 3734, 3735, 3736, 3737, 3738, 3739, 3740, 3741, 3742, 3743, 3744, 3745, 3746, 3747, 3761, 3762, 3763, 3764, 3765, 3766, 3767, 3768, 3769, 3770, 3771, 3772, 3773, 3774, 3775, 3776, 3777, 3778, 3927, 3928, 3929, 3930, 3931, 3932, 3933, 3934, 3935, 3936, 3937, 3938, 3939, 3940, 3941, 3942, 3943, 3944, 3945, 3946, 3947, 3948, 3949, 3950, 3951, 3952, 3953, 3954, 3955, 3956, 3957, 3958, 3959, 3960, 3961, 3962, 3963, 3964, 3965, 3966, 3967, 3968, 3969, 3970, 3971, 3972, 3973, 3974, 3975, 3976, 3977, 3978, 3979, 3980, 3981, 3982, 3983, 3984, 3985, 3986, 3987, 3988, 3989, 3990, 3991, 3992, 3993, 3994, 3995, 3996, 3997, 3998, 4000, 4007, 4008, 4009, 4038, 4039, 4040, 4041, 4042, 4043, 4044, 4045, 4046, 4047, 4048, 4049, 4050, 4051, 4052, 4053, 4054, 4055, 4056, 4057}","{4507, 4508, 4519, 4520, 4521, 4522, 4523, 4524, 4525, 4526, 4527, 4528, 4529, 4530, 4531, 4532, 4533, 4534, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4542, 4543, 4545, 4547, 4548, 4549, 4550, 4551}",0.8048780487804879,0.8191679670614462,0.0,,0.19047619047619047,0.059448494216866266,0.41666666666666663,0.0013405418061083196,0.0,,0.0,,0.625,0.31426044586851276,0.5333333333333333,,0.023255813953488372,,0.7000000000000001,,0.7214285714285714,,0.673469387755102,
