,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
0,1,Marina,Suntec City,1.29375 103.85718,1089,C,LTA,1.29375,103.85718
1,2,Marina,Marina Square,1.29115 103.85728,923,C,LTA,1.29115,103.85728
2,3,Marina,Raffles City,1.29382 103.85319,481,C,LTA,1.29382,103.85319
3,4,Marina,The Esplanade,1.29011 103.85561,678,C,LTA,1.29011,103.85561
4,5,Marina,Millenia Singapore,1.29251 103.86009,1002,C,LTA,1.29251,103.86009
5,6,Marina,Singapore Flyer,1.28944 103.86311,130,C,LTA,1.28944,103.86311
6,16,Harbfront,VivoCity P3,1.26421 103.82263,10,C,LTA,1.26421,103.82263
7,17,Harbfront,Sentosa,1.25017 103.83126,845,C,LTA,1.25017,103.83126
8,19,Harbfront,Harbourfront Centre,1.26426 103.82011,468,C,LTA,1.26426,103.82011
9,50,Harbfront,VivoCity P2,1.26426 103.82164,330,C,LTA,1.26426,103.82164
10,20,Orchard,Far East Plaza,1.3071 103.83359,38,C,LTA,1.3071,103.83359
11,18,Orchard,Tang Plaza,1.30491 103.83312,211,C,LTA,1.30491,103.83312
12,15,Orchard,Wheelock Place,1.3048 103.83063,48,C,LTA,1.3048,103.83063
13,13,Orchard,Ngee Ann City,1.30236 103.8349,326,C,LTA,1.30236,103.8349
14,12,Orchard,Mandarin Hotel,1.30216 103.83601,12,C,LTA,1.30216,103.83601
15,11,Orchard,Cineleisure,1.30151 103.83641,163,C,LTA,1.30151,103.83641
16,21,Orchard,Centrepoint,1.302 103.83975,67,C,LTA,1.302,103.83975
17,24,Orchard,313@Somerset,1.30084 103.83872,44,C,LTA,1.30084,103.83872
18,7,Orchard,Orchard Point,1.30135 103.84061,165,C,LTA,1.30135,103.84061
19,22,Orchard,Concorde Hotel,1.3006 103.84191,198,C,LTA,1.3006,103.84191
20,9,Orchard,Plaza Singapura,1.30103 103.84503,6,C,LTA,1.30103,103.84503
21,10,Orchard,The Cathay,1.2995 103.84762,89,C,LTA,1.2995,103.84762
