ID,Category,Name,Coordinates,rating,user_ratings_total
1,Hawker Centre,Bedok North Street 4 Blk 85 (85 Fengshan Centre),"103.938732580554,1.33198706861747,0.0",4.3,1064
2,Hawker Centre,Redhill Lane Blk 85 (Redhill Food Centre),"103.818338919994,1.28733076703987,0.0",4.2,1942
3,Hawker Centre,Sembawang Hills Food Centre (Jalan Leban Food Centre),"103.828994204342,1.37238494002145,0.0",3.9,1891
4,Hawker Centre,Serangoon Garden Market,"103.866737484646,1.3631571201113,0.0",4.1,2436
5,Hawker Centre,Shunfu Road Blk 320 (Shunfu Mart),"103.837031803823,1.35200744198417,0.0",3.9,1574
6,Hawker Centre,Sims Place Blk 49 (Sims Vista Market and Food Centre),"103.879417030673,1.31708335109103,0.0",4,2181
7,Hawker Centre,Smith Street Blk 335 (Chinatown Complex Market),"103.843177616296,1.28223514826381,0.0",4.1,5478
8,Hawker Centre,Taman Jurong Market and Food Centre,"103.721519868629,1.33458935951076,0.0",4.2,4086
9,Hawker Centre,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),"103.944624481151,1.3456395210229,0.0",4.1,3168
10,Hawker Centre,Tanglin Halt Market,"103.797625756738,1.30078931480841,0.0",4.1,1575
11,Hawker Centre,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),"103.843166992138,1.27661461066321,0.0",4.1,1734
12,Hawker Centre,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),"103.742891623681,1.32084835041654,0.0",3.9,1749
13,Hawker Centre,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),"103.818641695106,1.27736683810318,0.0",4,1790
14,Hawker Centre,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),"103.807626838954,1.27336828250285,0.0",4,1358
16,Hawker Centre,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),"103.82211725658,1.27271579716508,0.0",3.8,592
17,Hawker Centre,Tiong Bahru Market,"103.832348785334,1.28508825756819,0.0",4.3,8514
18,Hawker Centre,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),"103.84473162196,1.33809268551386,0.0",4.1,1466
19,Hawker Centre,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),"103.851999137527,1.33454816495637,0.0",3.8,171
20,Hawker Centre,Toa Payoh Lorong 4 Blk 93,"103.849513484035,1.3384747524617,0.0",3.9,721
21,Hawker Centre,Toa Payoh Lorong 5 Blk 75,"103.852941556275,1.33603882157063,0.0",4.1,1791
22,Hawker Centre,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),"103.857036007166,1.33523145909678,0.0",4,1169
23,Hawker Centre,Toa Payoh Lorong 8 Blk 210,"103.854395279214,1.3402608349586,0.0",4.1,3425
24,Hawker Centre,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),"103.871620273635,1.31502804429519,0.0",4,3228
25,Hawker Centre,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),"103.845818885585,1.28524640047048,0.0",4.2,3947
27,Hawker Centre,West Coast Drive Blk 503 (Ayer Rajah Food Centre),"103.759751321019,1.31180301004196,0.0",4.2,5596
29,Hawker Centre,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),"103.85406806286,1.32342175143826,0.0",4.2,4207
30,Hawker Centre,Yishun Park Hawker Centre,"103.844747581861,1.42501763803265,0.0",4,5135
31,Hawker Centre,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),"103.828537609942,1.43144768831222,0.0",4.1,7136
32,Hawker Centre,Zion Riverside Food Centre,"103.831189303546,1.29234216757957,0.0",4.2,2610
33,Hawker Centre,Margaret Drive Hawker Centre,"103.804715225285,1.29748567106686,0.0",4,1819
34,Hawker Centre,Woodleigh Village Hawker Centre,"103.872090241567,1.3397961360031,0.0",4.2,1769
35,Hawker Centre,Anchorvale Village Hawker Centre,"103.888489618777,1.39691417603694,0.0",4.2,1769
36,Hawker Centre,Fernvale Hawker Centre & Market,"103.877060478847,1.39159232727757,0.0",3.6,399
37,Hawker Centre,Punggol Town Hub Hawker Centre,"103.904805657576,1.40818996870647,0.0",4.4,12
40,Hawker Centre,Bukit Batok Hawker Centre,"103.741825836536,1.35521457121361,0.0",3.8,443
41,Hawker Centre,Market Street Hawker Centre,"103.850164578087,1.2844248503218,0.0",4.5,114
42,Hawker Centre,Buangkok Hawker Centre,"103.892403203249,1.38238755827879,0.0",4.2,1769
43,Hawker Centre,Bedok Reservoir Road Blk 630,"103.91405388831,1.33315924777343,0.0",3.9,230
44,Hawker Centre,Bedok South Road Blk 16,"103.93553909635,1.32055216480957,0.0",4,1697
45,Hawker Centre,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),"103.863021377531,1.31921699786807,0.0",4,3554
46,Hawker Centre,Beo Crescent Market,"103.827358017197,1.28882210205212,0.0",4,1707
47,Hawker Centre,Berseh Food Centre,"103.856853966617,1.30733651651517,0.0",4.1,2380
48,Hawker Centre,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),"103.712799765872,1.3452231627967,0.0",4.2,3553
49,Hawker Centre,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),"103.850530969624,1.30620584090733,0.0",4.2,746
50,Hawker Centre,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),"103.816992390295,1.28369258928085,0.0",4,1012
51,Hawker Centre,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),"103.804489277779,1.28629777221659,0.0",4.2,4991
52,Hawker Centre,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),"103.822049361292,1.28550478314618,0.0",4.1,2798
53,Hawker Centre,Bukit Panjang Hawker Centre,"103.772489583206,1.37760053528611,0.0",3.9,2500
55,Hawker Centre,Market Street Interim Hawker Centre,"103.848973726501,1.28159564281228,0.0",4.5,114
56,Hawker Centre,Marsiling Lane Blk 20/21,"103.777203165702,1.44388181695611,0.0",4,2470
57,Hawker Centre,Marsiling Mall Hawker Centre,"103.779784899996,1.43353885680037,0.0",4,2156
58,Hawker Centre,Maxwell Food Centre (Kim Hua Market),"103.844827863123,1.28011223513205,0.0",4.3,12088
59,Hawker Centre,Mei Chin Road Blk 159 (Mei Chin Road Market),"103.802903901116,1.29323622090658,0.0",4,1819
60,Hawker Centre,New Market Road Blk 32 (People's Park Food Centre),"103.842578750107,1.28499102169498,0.0",4.1,1217
61,Hawker Centre,New Upper Changi Road Blk 208B,"103.93056047823,1.32473884451035,0.0",3.9,123
62,Hawker Centre,New Upper Changi Road Blk 58,"103.941132372619,1.32418782817919,0.0",4.2,197
63,Hawker Centre,Newton Food Centre,"103.839562687644,1.31189235691653,0.0",4.2,10350
64,Hawker Centre,North Bridge Road Market,"103.863891012338,1.30576537802761,0.0",4,1355
65,Hawker Centre,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),"103.885833217727,1.30825156309798,0.0",4.3,9409
66,Hawker Centre,Our Tampines Hub,"103.939726160039,1.35386211773287,0.0",4.5,7776
67,Hawker Centre,Pasir Panjang Food Centre,"103.791402660553,1.27590752450201,0.0",4,2606
68,Hawker Centre,Pasir Ris Central Hawker Centre,"103.951543034782,1.37343413973246,0.0",4.1,1246
69,Hawker Centre,Queen Street Blk 270 (Albert Centre),"103.854211645499,1.30100146521405,0.0",4.1,4480
70,Hawker Centre,Adam Road Food Centre,"103.814165010384,1.32413422253318,0.0",4.1,6122
71,Hawker Centre,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),"103.88701902611,1.32064829234987,0.0",3.9,1642
72,Hawker Centre,Amoy Street Food Centre (Telok Ayer Food Centre),"103.846606784092,1.27921844263269,0.0",4.3,2483
73,Hawker Centre,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),"103.839231344066,1.36678764523637,0.0",3.9,1068
74,Hawker Centre,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),"103.848254220438,1.36410517096399,0.0",3.9,982
75,Hawker Centre,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),"103.855369790045,1.36276891777383,0.0",4,347
