ID,Category,Name,coordinates,Pri_Popularity_Score
187,Primary School,NANYANG PRIMARY SCHOOL,"103.807750155296,1.32084749904532",5
298,Primary School,TAO NAN SCHOOL,"103.911502213437,1.30460898085751",5
5,Primary School,AI TONG SCHOOL,"103.833020333986,1.3605834338904",5
218,Primary School,PEI CHUN PUBLIC SCHOOL,"103.855341310212,1.33677864390672",5
128,Primary School,HENRY PARK PRIMARY SCHOOL,"103.784296227747,1.31667646178347",5
252,Primary School,ROSYTH SCHOOL,"103.87477170399,1.3728583654058",5
280,Primary School,ST. HILDA'S PRIMARY SCHOOL,"103.936865693533,1.34934960586367",5
253,Primary School,RULANG PRIMARY SCHOOL,"103.718786145011,1.34718953201213",5
48,Primary School,CATHOLIC HIGH SCHOOL,"103.844210670766,1.35438878373608",5
184,Primary School,NAN HUA PRIMARY SCHOOL,"103.761095065761,1.31920159956387",5
101,Primary School,FAIRFIELD METHODIST SCHOOL (PRIMARY),"103.785455606827,1.30100441916733",5
219,Primary School,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,"103.776250903095,1.33807302121151",5
17,Primary School,ANGLO-CHINESE SCHOOL (JUNIOR),"103.84185340188,1.30900345657234",5
268,Primary School,SOUTH VIEW PRIMARY SCHOOL,"103.747153671,1.38143123987698",5
118,Primary School,GONGSHANG PRIMARY SCHOOL,"103.949144797277,1.35711606790292",5
64,Primary School,CHIJ ST. NICHOLAS GIRLS' SCHOOL,"103.834253269436,1.37347687878916",5
240,Primary School,RADIN MAS PRIMARY SCHOOL,"103.824115781658,1.27489701529771",5
18,Primary School,ANGLO-CHINESE SCHOOL (PRIMARY),"103.83534516884,1.31871860621788",5
245,Primary School,RED SWASTIKA SCHOOL,"103.934317528484,1.33405659580859",4.5
260,Primary School,SENGKANG GREEN PRIMARY SCHOOL,"103.875158826938,1.39283924999573",4.5
109,Primary School,FRONTIER PRIMARY SCHOOL,"103.699682818103,1.3366431119298",4.5
319,Primary School,WESTWOOD PRIMARY SCHOOL,"103.70053420978,1.34718456606375",4.5
305,Primary School,TEMASEK PRIMARY SCHOOL,"103.945505085146,1.31768525061137",4.5
342,Primary School,YU NENG PRIMARY SCHOOL,"103.932144857355,1.33388930344069",4.5
265,Primary School,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,"103.828164966953,1.3206340835184",4.5
176,Primary School,METHODIST GIRLS' SCHOOL (PRIMARY),"103.783393009829,1.33294800935714",4.5
67,Primary School,CHONGFU SCHOOL,"103.839309173817,1.43839562897006",4.5
156,Primary School,KONG HWA SCHOOL,"103.888259342632,1.31094193836138",4.5
159,Primary School,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,"103.855018233311,1.34939813669536",4.5
234,Primary School,PUNGGOL VIEW PRIMARY SCHOOL,"103.905191018271,1.4057889942173",4.5
229,Primary School,PRINCESS ELIZABETH PRIMARY SCHOOL,"103.740307576571,1.34942618948433",4.5
263,Primary School,SHUQUN PRIMARY SCHOOL,"103.721459527674,1.34760285244673",4.5
316,Primary School,WEST SPRING PRIMARY SCHOOL,"103.766195711835,1.38944145898943",4.5
248,Primary School,RIVER VALLEY PRIMARY SCHOOL,"103.836018941571,1.29418347842837",4.5
8,Primary School,ANDERSON PRIMARY SCHOOL,"103.841392081119,1.38426429436736",4.5
68,Primary School,CHONGZHENG PRIMARY SCHOOL,"103.951399541868,1.35070739237744",4.5
131,Primary School,HOLY INNOCENTS' PRIMARY SCHOOL,"103.89424605689,1.36700366732013",4.5
214,Primary School,PASIR RIS PRIMARY SCHOOL,"103.962922699031,1.37245132722087",4
201,Primary School,NORTHLAND PRIMARY SCHOOL,"103.840792923345,1.42130404159807",4
61,Primary School,CHIJ PRIMARY (TOA PAYOH),"103.841847268953,1.33275263726147",4
164,Primary School,MAHA BODHI SCHOOL,"103.901298737314,1.32847086658384",4
277,Primary School,ST. ANTHONY'S PRIMARY SCHOOL,"103.749251925758,1.36416126483168",4
166,Primary School,MARIS STELLA HIGH SCHOOL,"103.877852484979,1.34139473351039",4
231,Primary School,PUNGGOL GREEN PRIMARY SCHOOL,"103.898794262307,1.40172590450528",4
249,Primary School,RIVERSIDE PRIMARY SCHOOL,"103.801889031334,1.44700426493785",4
1,Primary School,ADMIRALTY PRIMARY SCHOOL,"103.800040119743,1.4426347903311",4
43,Primary School,CANBERRA PRIMARY SCHOOL,"103.815858858929,1.45125024371543",4
283,Primary School,ST. JOSEPH'S INSTITUTION JUNIOR,"103.845633334522,1.31781476118551",4
182,Primary School,NAN CHIAU PRIMARY SCHOOL,"103.891180928186,1.39221149906592",4
146,Primary School,JURONG PRIMARY SCHOOL,"103.732953394774,1.3486127256626",4
207,Primary School,OASIS PRIMARY SCHOOL,"103.911120600638,1.40462413200793",4
331,Primary School,XINMIN PRIMARY SCHOOL,"103.883080767491,1.37139548941931",4
133,Primary School,HORIZON PRIMARY SCHOOL,"103.913404855665,1.399550034492",4
39,Primary School,BUKIT PANJANG PRIMARY SCHOOL,"103.769374904025,1.37362179302436",4
235,Primary School,QIFA PRIMARY SCHOOL,"103.756629101811,1.3132658326807",4
241,Primary School,RAFFLES GIRLS' PRIMARY SCHOOL,"103.806397828938,1.33004178068277",3.5
173,Primary School,MEE TOH SCHOOL,"103.908589494228,1.3946184538592",3.5
227,Primary School,POI CHING SCHOOL,"103.935246486174,1.35765121877679",3.5
216,Primary School,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),"103.884846876112,1.3502545600894",3.5
313,Primary School,WATERWAY PRIMARY SCHOOL,"103.918585924582,1.39889261226315",3.5
