,block,floor_area_sqm,resale_price,price_per_sqm,lat,long,isLatLongAvailable
0,1 BEACH RD,68.3125,342430.5,5015.688208579843,1.3036713506088,103.864478660925,True
1,1 BEDOK STH AVE 1,60.88235294117647,288705.8823529412,4735.584291900418,1.32085208689731,103.933721091441,True
2,1 CHAI CHEE RD,129.8181818181818,525090.9090909091,4048.298804059012,1.32796879176302,103.922716018139,True
3,1 CHANGI VILLAGE RD,67.625,286875.0,4243.898203786263,1.3886100383707,103.988093482829,True
4,1 DELTA AVE,119.0,819280.0,6884.705882352941,1.2920752508431,103.828584077626,True
5,1 DOVER RD,67.4,340680.0,5049.028451001054,1.3025299473495,103.783271662459,True
6,1 EVERTON PK,98.2,577000.0,5881.461793434183,1.27549895431693,103.841398475091,True
7,1 GHIM MOH RD,66.57142857142857,329588.7619047619,4961.180798149219,1.31287975684307,103.786855017635,True
8,1 HAIG RD,59.69230769230769,310846.1538461539,5206.975228161668,1.31129091152627,103.897703432652,True
9,1 HOUGANG AVE 3,60.65,234450.0,3869.1888619854717,1.36413097349222,103.89300132385,True
10,1 JLN BT MERAH,64.0,309500.0,4835.9375,1.28644157642074,103.808286977232,True
11,1 KG KAYU RD,62.0,308500.0,4975.806451612903,1.30355769675629,103.883796413118,True
12,1 LOR 7 TOA PAYOH,67.0,251363.63636363635,3751.6960651289005,1.33943033543358,103.853442790992,True
13,1 LOR LEW LIAN,67.42857142857143,332232.7619047619,4933.9309360730595,1.35086712646948,103.875343939672,True
14,1 MARINE TER,120.26666666666667,816000.0,6782.7940897762055,1.30482902187779,103.918614976369,True
15,1 MARSILING DR,67.0,222154.0,3324.1303643724696,1.44067109860246,103.775739945213,True
16,1 PINE CL,99.73333333333333,712000.0,7138.517551746955,1.30787056219408,103.883192164927,True
17,1 QUEEN'S RD,122.5,894000.0,7299.712398373984,1.31726629524359,103.806782877524,True
18,1 ST. GEORGE'S RD,82.0,391687.5,4776.676829268293,unknown,unknown,False
19,1 TECK WHYE AVE,90.55555555555556,301555.55555555556,3353.4937390961795,1.38253882861956,103.751710905678,True
20,1 TELOK BLANGAH CRES,70.8,312986.6666666667,4419.1209391209395,1.27945660077329,103.817897561986,True
21,1 TG PAGAR PLAZA,63.4,468433.3333333333,7413.252623083132,1.27624051973973,103.843006115698,True
22,1 TOH YI DR,115.4,770800.0,6657.270649432535,1.33958155877064,103.774586318946,True
23,10 CHAI CHEE RD,96.0625,521868.0,5442.015292874396,1.32727572366021,103.924803599281,True
24,10 EUNOS CRES,91.36842105263158,460631.5789473684,5041.975758794981,1.32228655863065,103.902720513959,True
25,10 GLOUCESTER RD,74.3125,422493.0,5714.630272550292,1.31369315585356,103.840387458086,True
26,10 HAIG RD,66.6923076923077,328753.8461538461,4940.4204297726565,1.31483950176268,103.895865169739,True
