,school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,lat,long,isLatLongAvailable
1,ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31   WOODLANDS CRESCENT,737916,63651733,63654596,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR LAM YUI- P'NG,MR NG SONG LIM STEVEN,MR SHEIK ALAUDIN B MOHD ISMAIL,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.44589068910993,103.802398196596,True
3,AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751  YISHUN AVENUE 7,768928,67585384,na,67557778,na,aiss@moe.edu.sg,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",MISS TAN KE XIN,MR YAO ZHIXUAN TERENCE,MISS LEA SHU HUI,,,,,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.43605975368804,103.829718690077,True
8,ANDERSON SECONDARY SCHOOL,http://www.andersonsec.moe.edu.sg,10   ANG MO KIO STREET 53,569206,64598303,na,64586104,na,anderson_ss@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",MDM THONG MAY TENG,MDM LOW CHIA YEE,MR JONAH LIM TUCK HWAY,,,,,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,1.37434001701177,103.851554107068,True
11,ANG MO KIO SECONDARY SCHOOL,http://www.angmokiosec.moe.edu.sg,6    ANG MO KIO STREET 22,569362,64548605,na,64582425,na,AMKSS@MOE.EDU.SG,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",MR SHAW SWEE TAT,MDM TONG WAI HAN,MDM LEE KEE CHIN,,,,,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.36733710171069,103.842154973672,True
12,ANGLICAN HIGH SCHOOL,http://www.anglicanhigh.moe.edu.sg,600  UPPER CHANGI ROAD,487012,62414866,na,64414690,na,AHS@MOE.EDU.SG,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",MR KHOO TSE HORNG,MR GOH CHIN WEI,MR CHIN LIH KEONG,,,,,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,1.33058126205128,103.941082513081,True
14,ANGLO-CHINESE SCHOOL (BARKER ROAD),http://www.acsbr.moe.edu.sg,60   BARKER ROAD,309919,62561633,na,62561366,na,acsbr@moe.edu.sg,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",MR LOO MING YAW,MRS AW MENG YIN,MR TAN WHYE WEE JEFFREY,,,,,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.31961649151328,103.835772689988,True
19,ASSUMPTION ENGLISH SCHOOL,http://www.assumptionenglish.moe.edu.sg,622  UPPER BUKIT TIMAH ROAD,678117,65729100,na,67636560,na,AES@MOE.EDU.SG,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",MR KWOK CHIN POH BENJAMIN,MISS WONG KER SIN,,,,,,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.36916295281535,103.767937546001,True
20,ASSUMPTION PATHWAY SCHOOL,http://www.aps.edu.sg,30   Cashew Road,679697,62793000,na,67622857,na,aps@schools.gov.sg,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",MR STEPHEN CHIN,MR SHASHIDARAN S/O KANESON,,,,,,BUKIT PANJANG,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.3696707043227,103.765959130581,True
21,BARTLEY SECONDARY SCHOOL,http://www.bartleysec.moe.edu.sg,10   JALAN BUNGA RAMPAI,538403,62889013,na,62805595,na,bartley_ss@moe.edu.sg,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",MR MOHD AZHAR B TERIMO,MRS TAN CHYE NA,MR NG CHOR YAM,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.33995415587811,103.882806211705,True
23,BEATTY SECONDARY SCHOOL,http://www.beattysec.moe.edu.sg,1    TOA PAYOH NORTH,318990,62569108,na,62542284,na,BEATTY_SS@MOE.EDU.SG,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",MR LING KHOON CHOW,MR LIM SOON WAI,,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,1.34177065605301,103.852285636043,True
