,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
0,A01,1.3038888888888889,103.83361111111111,Yes,LTA,Stand,Orchard Rd along driveway of Lucky Plaza
1,A05,1.3041666666666667,103.83527777777778,Yes,Private,Stand,Mt Elizabeth Rd at Mt Elizabeth Hospital
2,A06,1.3030555555555556,103.83749999999999,Yes,LTA,Stop,Cairnhill Rd at Cairnhill Nine
3,A08,1.3033333333333335,103.8325,Yes,Private,Stand,Orchard Turn at Wisma Atria Shopping Centre
4,A12,1.3025,103.84055555555555,Yes,Private,Stop,Cuppage Rd at Starhub Centre
5,A13,1.3005555555555557,103.84222222222222,No,LTA,Stand,Kramat Lane outside Concorde Hotel & Shopping Mall
6,A14,1.3022222222222222,103.84083333333332,Yes,Private,Stop,Cavenagh Rd at Holiday Inn Singapore Orchard City Centre
7,A16,1.3,103.845,Yes,Private,Stand,Handy Rd at Plaza Singapura
8,A17,1.2988888888888888,103.84722222222221,Yes,CCS,Stand,Handy Rd near Cathay Building
9,A19,1.2966666666666666,103.84388888888888,Yes,CCS,Stand,Clemenceau Ave in front of Haw Par Glass Centre
10,A22,1.3,103.83944444444444,Yes,Private,Stand,Somerset Rd at Orchardgateway
11,A23,1.2994444444444444,103.83694444444444,Yes,Private,Stand,Devonshire Rd outside TripleOne Somerset
12,B02,1.3002777777777779,103.84944444444444,Yes,CCS,Stand,Selegie Rd in front of Parklane Shopping Mall
13,B03,1.3025,103.85083333333333,Yes,LTA,Stand,Short St near La Salle Arts College
14,B04,1.301111111111111,103.85222222222221,Yes,LTA,Stop,Bencoolen St outside Summerview Hotel
15,B06,1.297222222222222,103.84888888888888,Yes,Private,Stop,Bencoolen St at SMU School of Econ & Social Sciences
16,B07,1.297222222222222,103.84916666666666,Yes,Private,Stop,Bencoolen St at SMU School of Information Systems
17,B08,1.2958333333333332,103.85027777777778,Yes,Private,Stand,Queen St at SMU Li Ka Shing Library
18,B09,1.2977777777777777,103.85194444444444,Yes,LTA,Stand,Queen St at China Cultural Centre
19,B10,1.2994444444444444,103.85249999999999,Yes,CCS,Stand,Waterloo St at Stamford Arts Centre
20,B11,1.2980555555555555,103.85527777777777,Yes,Private,Stand,North Bridge Rd along driveway of Bugis Junction Tower
21,B12,1.298611111111111,103.85638888888889,Yes,LTA,Stand,Tan Quee Lan St outside Bugis DTL Station
22,B13,1.2966666666666666,103.85666666666665,Yes,CCS,Stand,Beach Rd outside Shaw Towers
23,B14,1.2958333333333332,103.85527777777777,No,LTA,Stand,Purvis St outside Shop House No. 24
24,B17,1.2991666666666666,103.85055555555554,Yes,LTA,Stand,Bencoolen St at Masjid Bencoolen opp Bencoolen DTL Station (Ent A)
25,B18,1.2994444444444444,103.85527777777777,Yes,Private,Stand,Victoria St along driveway of Bugis Junction
26,C01,1.2908333333333333,103.84583333333333,Yes,Private,Stand,River Valley Rd at Clarke Quay
27,C02,1.2913888888888887,103.845,Yes,CCS,Stand,River Valley Rd at Liang Court
28,C04,1.2902777777777776,103.84472222222222,Yes,LTA,Stand,Tan Tye Place at Clarke Quay
29,C06,1.2938888888888889,103.84916666666666,Yes,LTA,Stand,Armenian St in front of Peranakan Museum
30,C08,1.2916666666666665,103.85027777777778,Yes,Private,Stand,Coleman St along driveway outside Peninsula Excelsior Hotel
31,C12,1.2908333333333333,103.85138888888888,Yes,Private,Stop,Coleman St at The Adelphi
32,C13,1.2925,103.85138888888888,Yes,Private,Stand,North Bridge Rd outside Capitol Piazza
33,C14,1.2930555555555554,103.85249999999999,Yes,Private,Stand,Stamford Rd along driveway of Raffles City
34,C15,1.2938888888888889,103.85249999999999,Yes,Private,Stand,North Bridge Rd along driveway of Raffles City
35,C18,1.295,103.8586111111111,Yes,Private,Stand,Temasek Blvd at Suntec Tower 1 & 2
36,C19,1.2944444444444443,103.85944444444443,Yes,Private,Stand,Temasek Blvd at Suntec Tower 3 & 4
37,C20,1.291111111111111,103.85972222222222,Yes,Private,Stand,Raffles Blvd at Millenia Walk
38,C21,1.2922222222222222,103.86055555555555,Yes,Private,Stand,Temasek Ave at Millenia Tower
39,C22,1.291111111111111,103.85833333333333,Yes,Private,Stand,Raffles Blvd along driveway of Marina Square
40,C24,1.2894444444444444,103.85638888888889,Yes,Private,Stand,Raffles Ave at The Esplanade
41,C25,1.2925,103.85666666666665,Yes,Private,Stand,Raffles Blvd at Suntec City Mall
42,C26,1.2958333333333332,103.84583333333333,Yes,LTA,Stop,Percival Rd at round-about of Fort Canning Park
43,C27,1.293611111111111,103.85777777777777,Yes,Private,Stand,Temasek Blvd at Suntec Tower 5
44,C28,1.2919444444444443,103.84416666666667,Yes,LTA,Stand,Clarke Quay outside Fort Canning DTL Station (towards River Valley) (Ent A)
45,C29,1.2922222222222222,103.84472222222222,Yes,LTA,Stand,River Valley Rd outside Fort Canning DTL Station (towards Downtown) (Ent B)
46,D01,1.2797222222222222,103.84055555555555,Yes,Private,Stand,Teo Hong Rd beside Dorsett Residences
47,D02,1.2783333333333333,103.84166666666667,Yes,LTA,Stand,Neil Rd in front of Chinatown Plaza
48,D04,1.281388888888889,103.84166666666667,Yes,LTA,Stand,Kreta Ayer Rd opposite Oriental Plaza
49,D05,1.2833333333333332,103.84222222222222,Yes,Private,Stand,Park Cres outside People's Park Complex
50,D06,1.285,103.84305555555555,Yes,LTA,Stand,Upp Cross St outside OG Building
51,D07,1.2858333333333332,103.84416666666667,No,LTA,Stop,Havelock Sq beside People's Park Centre
52,D08,1.285,103.84472222222222,Yes,Private,Stand,New Bridge Rd along driveway of Chinatown Point
53,D09,1.2869444444444442,103.86138888888888,Yes,Private,Stop,New Market Rd outside Ministry of Manpower
54,D10,1.2888888888888888,103.8425,Yes,Private,Stand,Magazine Rd at Central Mall
55,D11,1.2888888888888888,103.84388888888888,Yes,Private,Stand,Merchant Rd at Riverside Point
56,D13,1.288611111111111,103.84805555555555,Yes,Private,Stop,Upp Circular Rd at The Riverwalk
57,D14,1.2880555555555555,103.84722222222221,No,LTA,Stand,Carpenter St Opposite Safra Town Club
58,D15,1.2866666666666666,103.84694444444445,Yes,LTA,Stand,North Canal Rd opposite Hong Lim Park
59,D16,1.2822222222222222,103.84527777777777,Yes,LTA,Stand,South Bridge Rd outside Sri Mariamman Temple
60,D17,1.2808333333333333,103.84416666666667,No,LTA,Stand,Sago Lane beside Buddha Tooth Relic Temple & Museum
61,D18,1.2825,103.84388888888888,No,LTA,Stand,Temple St in front of Grand Court Restaurant
62,D19,1.2838888888888889,103.84388888888888,No,LTA,Stand,Mosque St in front of Dragon Brand Bird's Nest Building
63,D21,1.2830555555555554,103.84305555555555,No,LTA,Stop,Temple St beside Lucky Chinatown
64,E06,1.281111111111111,103.84722222222221,No,LTA,Stand,Amoy St behind Thian Hock Keng Temple
65,E07,1.2822222222222222,103.84861111111111,Yes,LTA,Stand,Telok Ayer St outside PWC Building
66,E08,1.2786111111111111,103.84777777777778,Yes,CCS,Stop,Cecil St outside GB Building (before McCallum St)
67,E09,1.2797222222222222,103.84861111111111,Yes,CCS,Stop,Cecil St outside Keck Seng Tower
68,E10,1.2816666666666665,103.84972222222221,Yes,Private,Stop,Cecil St outside CapitaGreen
69,E11,1.2830555555555554,103.85111111111111,Yes,CCS,Stop,D'almeida St outside Bharat Building
70,E13,1.284722222222222,103.85194444444444,Yes,Private,Stop,Battery Rd at Straits Trading Building
71,E14,1.2777777777777777,103.84833333333333,Yes,LTA,Stop,Robinson Rd before McCallum Street outside Singapore Post
72,E15,1.2791666666666666,103.84916666666666,No,LTA,Stop,Robinson Rd outside Robinson Centre
73,E16,1.281111111111111,103.85138888888888,Yes,CCS,Stop,Raffles Quay at 6 Raffles Quay (near Telegraph Street)
74,E18,1.2786111111111111,103.84972222222221,Yes,LTA,Stop,Shenton Way outside SGX Centre
