,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure
0,COVE DRIVE,TURQUOISE,CCR,1.2729546766736342,103.80643708167351,15592.351906852571,04,99 yrs lease commencing from 2007
1,ALEXANDRA VIEW,ARTRA,RCR,1.2532579392766388,103.85371990063398,19226.539384371332,03,99 yrs lease commencing from 2016
2,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,1.26642981329282,103.84624395865079,16778.80184331797,03,9999 yrs lease commencing from 1963
3,BEACH ROAD,CITY GATE,RCR,1.2986245370154614,103.86595797490442,20768.717993988583,07,99 yrs lease commencing from 2014
4,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,1.2797893460680951,103.80926663920398,16672.60910394189,04,99 yrs lease commencing from 2006
5,PASIR PANJANG ROAD,THE FOLIAGE,RCR,1.209850285698427,103.85470345032505,14157.286317622025,05,Freehold
6,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,1.28844263699724,103.84409687837366,20441.911211421546,01,99 yrs lease commencing from 2007
7,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,1.2737064819005397,103.83981466687274,22894.247858051163,02,Freehold
8,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,1.2590021535208664,103.83040076323744,15950.025810983874,04,Freehold
9,SHENTON WAY,V ON SHENTON,CCR,1.2854615272334893,103.84085628077005,24447.85968919848,01,99 yrs lease commencing from 2011
10,BENCOOLEN STREET,BURLINGTON SQUARE,RCR,1.2890028327434675,103.86585415919569,13440.894103762925,07,99 yrs lease commencing from 1996
11,MOUNT FABER ROAD,MOUNT FABER LODGE,RCR,1.26075649938886,103.83272587332868,12445.72668216362,04,Freehold
12,SHENTON WAY,ONE SHENTON,CCR,1.286841679163728,103.84305355693529,18105.7493281494,01,99 yrs lease commencing from 2005
13,BEACH ROAD,MIDTOWN BAY,CCR,1.2937017454273034,103.86000554949754,32128.216246264903,07,99 yrs lease commencing from 2018
14,DOVER RISE,HERITAGE VIEW,RCR,1.2201381411473136,103.86801311171946,12785.985602479112,05,99 yrs lease commencing from 1996
15,WEST COAST WAY,CARABELLE,OCR,1.1919386750784484,103.88076535489505,13969.718965950162,05,956 yrs lease commencing from 1928
16,MOUNT FABER ROAD,THE PEARL @ MOUNT FABER,RCR,1.2608334024568792,103.83418413923772,12759.104458223079,04,99 yrs lease commencing from 2002
17,ZEHNDER ROAD,BUONA VISTA GARDENS,RCR,1.222261326227179,103.84703578152804,12153.222063324803,05,Freehold
18,PEARL BANK,PEARL BANK APARTMENT,RCR,1.2760339900253317,103.84669640982656,8833.424751749766,03,99 yrs lease commencing from 1970
19,YEW SIANG ROAD,FRAGRANCE COURT,RCR,1.2290387269240064,103.84105725948146,12452.431289640592,05,Freehold
20,PASIR PANJANG ROAD,LIIV RESIDENCES,RCR,1.2124361960751069,103.85221301096007,17235.4722381101,05,Freehold
21,PRINCE CHARLES CRESCENT,THE CREST,RCR,1.256599706612047,103.85678672717054,20745.3880245482,03,99 yrs lease commencing from 2012
22,PRINSEP LINK,SUNSHINE PLAZA,RCR,1.28697695425665,103.86409333427531,13852.12385878083,07,99 yrs lease commencing from 1997
23,YEW SIANG ROAD,FLYNN PARK,RCR,1.228657987911272,103.84267618823198,12798.080615613148,05,Freehold
24,ENGGOR STREET,ALTEZ,CCR,1.2805682202004043,103.83840665989123,22209.13676610362,02,99 yrs lease commencing from 2008
25,MIDDLE ROAD,BOON SING BUILDING,CCR,1.2917062834843374,103.860666075197,17788.46153846154,07,999 yrs lease commencing from 1835
26,JALAN MAT JAMBOL,ISLAND VIEW,RCR,1.2295775349081017,103.8431655970977,12528.79579613955,05,Freehold
