,index,licence_numbers,business_name,name_of_license,premise_address,lat,long,isLatLongAvailable
0,0,B02008E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"845 YISHUN STREET 81 #01-184, S(760845)",1.41599814748468,103.835053564214,True
1,1,B02011P000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"524A JELAPANG ROAD #03-13/18, GREENRIDGE SHOPPING CENTRE S(671524)",1.38540569310644,103.766228468185,True
2,2,B02012N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"768 WOODLANDS AVENUE 6 #01-34, WOODLANDS MART S(730768)",1.44564787003157,103.798162285805,True
3,3,B02015J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"122 ANG MO KIO AVENUE 3 #01-1753,#01-1757,#01-1755, S(560122)",1.37018860668947,103.843413231524,True
4,4,B02017C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"301 WOODLANDS STREET 31 #01-217, S(730301)",1.4315052703273,103.773515659097,True
5,5,B02020N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JELEBU ROAD #02-20,#01-15, BUKIT PANJANG PLAZA S(677743)",1.37988291404114,103.764377765935,True
6,6,B02021L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 SEMBAWANG DRIVE #B1-01-03, SUN PLAZA S(757713)",1.44819436804175,103.819464386349,True
7,7,B02022K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"71 WOODLANDS AVENUE 3 #01-01, MARSILING MRT STATION S(739044)",1.43262603485889,103.774051197031,True
8,8,B02024E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"888 WOODLANDS DRIVE 50 #01-757, 888 PLAZA S(730888)",1.43711856085535,103.795316064775,True
9,9,B02025C000,fairprice,NTUC FAIRPRICE CO-OPERATIVE LTD,"414 YISHUN RING ROAD #01-1853, S(760414)",1.42452849112151,103.84659554729,True
10,10,B02026B000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"445 FAJAR ROAD #01-536, S(670445)",1.383601112147,103.77094013941,True
11,11,B02032E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"161 ANG MO KIO AVENUE 4 #01-504, S(560161)",1.37423951664303,103.839489194974,True
12,12,B02034B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 WOODLANDS AVENUE 1, WOODGROVE S(739065)",1.42933633490182,103.781337285958,True
13,13,B02035A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"548 WOODLANDS DRIVE 44 #01-37/38, VISTA POINT S(730548)",1.4308011390122,103.794104795966,True
14,14,B02037X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"883 WOODLANDS STREET 82 #01-498, WOODLANDS NORTH PLAZA S(730883)",1.44285548185504,103.790965090129,True
15,15,B02038P000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"925 YISHUN CENTRAL 1 #01-211, S(760925)",1.42750549654333,103.837125284539,True
16,16,B02039N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 YISHUN STREET 22 #01-261, S(760293)",1.43591598491658,103.837858420722,True
17,17,B02041C000,hwa soon heng mini supermarket,Tan Kwee Eng,"327 YISHUN RING ROAD #01-1320, S(760327)",1.43007109914643,103.842396446526,True
18,18,B02060V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"256 BANGKIT ROAD #01-69, S(670256)",1.37904775889844,103.773004042544,True
19,19,B02093B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"301 YISHUN AVENUE 2 #01-02, YISHUN MRT STATION S(769093)",1.4295887655538,103.835050382253,True
20,20,B02099L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"849 YISHUN RING ROAD #01-3703, S(760849)",1.41697224217054,103.835293763997,True
21,21,B03074A000,The butcher,THE BUTCHER (SINGAPORE) PTE. LTD.,"44 JALAN MERAH SAGA #01-50, S(278116)",1.31192195425084,103.796844037126,True
22,22,B03078N000,Fish market,ROSWELL ENTERPRISE PTE. LTD.,"34 GREENWOOD AVENUE, S(289236)",1.33183246511303,103.806492461663,True
23,23,B03099C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"628 SENJA ROAD #01-01, S(670628)",1.38509602471476,103.760218434373,True
24,24,B85098V000,HAO MART,HAO MART PTE. LTD.,"239 YISHUN RING ROAD #01-1150, S(760239)",1.43364273451288,103.839634571008,True
25,25,B92077A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"418 YISHUN AVENUE 11 #01-433, S(760418)",1.4248993192219,103.847249789758,True
26,26,B98014C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"215 ANG MO KIO AVENUE 1 #01-877, S(560215)",1.36650736048431,103.841792357962,True
27,27,B99041L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 ORCHID CLUB ROAD #01-34, ORCHID COUNTRY CLUB S(769162)",1.41145912864712,103.845130941112,True
28,28,C02024A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 FIFTH AVENUE #01-05, GUTHRIE HOUSE S(268802)",1.33077492770988,103.795713392342,True
29,29,C02025V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 HOLLAND ROAD, COLD STORAGE JELITA S(278628)",1.31754555939886,103.785850542515,True
30,30,C02026X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 JURONG EAST STREET 21 #01-100, IMM BUILDING S(609601)",1.33491758755437,103.746877132868,True
