,street,project,marketSegment,SVY21_x,SVY21_y,lat,long,avg_price_per_sqm,district,commonest_tenure
0,COVE DRIVE,TURQUOISE,CCR,28382.47067,25008.33592,1.2424409850962668,103.83675517458337,15570.33369730509,04,99 yrs lease commencing from 2007
1,ALEXANDRA VIEW,ARTRA,RCR,26204.50079,30270.56219,1.2900306705735745,103.81718527391092,19221.8244350349,03,99 yrs lease commencing from 2016
2,YONG SIAK STREET,RESIDENTIAL APARTMENTS,RCR,27660.97304,29438.53463,1.2825061550750398,103.83027229030733,16778.80184331797,03,9999 yrs lease commencing from 1963
3,BEACH ROAD,CITY GATE,RCR,31220.91906,31632.51122,1.3023475431295197,103.86226001233263,20725.023997420383,07,99 yrs lease commencing from 2014
4,OCEAN DRIVE,THE COAST AT SENTOSA COVE,CCR,29138.21001,25323.25071,1.2452889471814053,103.8435456932676,16626.20433853776,04,99 yrs lease commencing from 2006
5,PASIR PANJANG ROAD,THE FOLIAGE,RCR,21404.7092,30380.06291,1.2910203128569078,103.77405714193232,13965.335909884872,05,Freehold
6,CENTRAL BOULEVARD,MARINA BAY SUITES,CCR,30095.03618,29199.57054,1.2803449800408624,103.85214327765979,20441.91121142155,01,99 yrs lease commencing from 2007
7,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,RCR,28465.5867,28723.00077,1.276035116078278,103.83750204635528,22894.24785805116,02,Freehold
8,TELOK BLANGAH ROAD,HARBOURLIGHTS,RCR,26839.65754,27675.30517,1.2665601059288716,103.82289251555979,15950.025810983878,04,Freehold
9,SHENTON WAY,V ON SHENTON,CCR,29765.39916,28838.92043,1.2770834071094717,103.84918134351813,24567.917058258965,01,99 yrs lease commencing from 2011
10,BENCOOLEN STREET,BURLINGTON SQUARE,RCR,30157.00031,31620.97109,1.302243270426296,103.85270021468804,13440.894103762925,07,99 yrs lease commencing from 1996
11,MOUNT FABER ROAD,MOUNT FABER LODGE,RCR,27033.64383,27934.07322,1.268900320136196,103.82463553922562,12445.72668216362,04,Freehold
12,SHENTON WAY,ONE SHENTON,CCR,29918.01006,29083.45837,1.2792949135716083,103.85055262356882,18082.759241818214,01,99 yrs lease commencing from 2005
13,WEST COAST CRESCENT,THE VISION,OCR,20320.99671,31161.45122,1.298086661636885,103.76431934676549,13429.423408701841,05,99 yrs lease commencing from 2008
14,BEACH ROAD,MIDTOWN BAY,CCR,30676.57432,30970.06495,1.2963566644389748,103.85736876919842,32192.809693720825,07,99 yrs lease commencing from 2018
15,DOVER RISE,HERITAGE VIEW,RCR,22542.30201,31861.34513,1.304416722314186,103.78427862672272,12727.677558835747,05,99 yrs lease commencing from 1996
16,WEST COAST WAY,CARABELLE,OCR,19424.17318,33280.65333,1.3172517267545043,103.75626041175792,13930.524810078317,05,956 yrs lease commencing from 1928
17,MOUNT FABER ROAD,THE PEARL @ MOUNT FABER,RCR,27042.14738,28096.3676,1.2703680539766609,103.8247119416636,12723.069302729673,04,99 yrs lease commencing from 2002
18,ZEHNDER ROAD,BUONA VISTA GARDENS,RCR,22777.05175,29526.68393,1.283302914754097,103.78638834984544,12153.222063324803,05,Freehold
19,PEARL BANK,PEARL BANK APARTMENT,RCR,28722.95346,29488.88355,1.2829614866292858,103.839814598314,8833.424751749766,03,99 yrs lease commencing from 1970
20,YEW SIANG ROAD,FRAGRANCE COURT,RCR,23526.45872,28861.30614,1.2772855882178786,103.79312215664355,12452.431289640592,05,Freehold
21,PASIR PANJANG ROAD,LIIV RESIDENCES,RCR,21690.64361,30102.88785,1.2885136991743402,103.77662643642782,17235.4722381101,05,Freehold
22,PRINCE CHARLES CRESCENT,THE CREST,RCR,26574.01896,30611.87535,1.2931174058121584,103.82050553244494,20738.33155458204,03,99 yrs lease commencing from 2012
23,PRINSEP LINK,SUNSHINE PLAZA,RCR,29932.98666,31425.0089,1.3004710722081925,103.85068733742014,13852.12385878083,07,99 yrs lease commencing from 1997
24,YEW SIANG ROAD,FLYNN PARK,RCR,23484.35916,29041.48343,1.278915042096626,103.79274385101009,12798.080615613148,05,Freehold
25,ENGGOR STREET,ALTEZ,CCR,29224.32188,28566.29912,1.2746179410524223,103.84431955372328,22165.83840443618,02,99 yrs lease commencing from 2008
26,MIDDLE ROAD,BOON SING BUILDING,CCR,30455.92719,31043.5781,1.297021509617904,103.85538616416693,17788.46153846154,07,999 yrs lease commencing from 1835
27,JALAN MAT JAMBOL,ISLAND VIEW,RCR,23586.03807,29095.95136,1.2794076452222363,103.79365746647713,12528.79579613955,05,Freehold
28,PASIR PANJANG HILL,KENTVIEW PARK,RCR,22701.29404,29373.43174,1.2819169435167093,103.78570766301719,11557.511573042391,05,Freehold
29,ALEXANDRA VIEW,ALEX RESIDENCES,RCR,26406.55166,30330.19689,1.2905699967775521,103.81900078175171,20879.389165984616,03,99 yrs lease commencing from 2013
30,PASIR PANJANG HILL,THE GRANDHILL,RCR,22608.00742,29341.29795,1.2816263210663925,103.78486945242655,13932.561797875518,05,Freehold
31,DOVER RISE,DOVER PARKVIEW,RCR,22549.76988,32046.80403,1.3060939479574167,103.78434569653287,11688.397997015949,05,99 yrs lease commencing from 1993
32,MARINA BOULEVARD,MARINA BAY RESIDENCES,CCR,30411.54277,29120.0497,1.2796257989067608,103.8549872038058,24502.97020556675,01,99 yrs lease commencing from 2005
33,SOUTH BRIDGE ROAD,FOOK HAI BUILDING,RCR,29459.47048,29711.7445,1.284976937339476,103.84643250135781,8024.691358024691,01,99 yrs lease commencing from 1972
34,GOPENG STREET,ICON,CCR,29243.99192,28627.34247,1.2751699949579876,103.84449629851349,18292.746843166413,02,99 yrs lease commencing from 2002
35,PASIR PANJANG ROAD,ICON @ PASIR PANJANG,RCR,22706.68934,29104.70786,1.2794867007096369,103.78575618667038,13333.333333333334,05,Freehold
36,CHIN SWEE ROAD,LANDMARK TOWER,RCR,28696.69635,29836.78218,1.2861077603445534,103.83957867557254,10693.80078697207,03,99 yrs lease commencing from 1980
37,PASIR PANJANG ROAD,PASIR PANJANG LODGE,RCR,21218.04537,30439.1218,1.2915543804977463,103.7723798775079,10450.55310259697,05,Freehold
38,ROBINSON ROAD,ROBINSON SUITES,CCR,29836.74822,29264.78188,1.2809347445905586,103.84982246576487,26854.197183752647,01,Freehold
39,PASIR PANJANG ROAD,RESIDENTIAL APARTMENTS,RCR,23396.44653,28788.30894,1.276625408626101,103.7919539597962,9133.414932680538,05,999 yrs lease commencing from 1966
40,PASIR PANJANG ROAD,THE ESTIVA,RCR,21881.71441,30027.82664,1.2878349101371094,103.77834329958064,13543.085994761814,05,Freehold
41,HAVELOCK ROAD,RIVER PLACE,RCR,28897.73369,30293.99154,1.2902425961258717,103.84138508971101,14882.232539064855,03,99 yrs lease commencing from 1995
42,QUEENSWAY,QUEENSWAY TOWER,RCR,24670.01233,30001.27311,1.2875951893898572,103.80339728783272,11066.210108187553,03,Freehold
43,TAN QUEE LAN STREET,HERITAGE PLACE,CCR,30570.46793,31215.1989,1.298573578392417,103.85641537706015,18308.050645007166,07,999 yrs lease commencing from 1827
44,WEST COAST RISE,MONTEREY PARK CONDOMINIUM,OCR,19132.42744,33241.94318,1.3169015631943704,103.75363894063872,12331.438088926856,05,999 yrs lease commencing from 1885
45,DUNDEE ROAD,QUEENS PEAK,RCR,25073.21159,30746.7066,1.294336667488726,103.80702012733846,18261.247034249467,03,99 yrs lease commencing from 2015
46,PASIR PANJANG ROAD,JUBILEE RESIDENCE,RCR,21552.57324,30204.59681,1.2894334907226426,103.77538579741783,11708.757319968894,05,Freehold
47,MARINA BOULEVARD,THE SAIL @ MARINA BAY,CCR,30152.38281,29246.50498,1.280769434780921,103.85265856213984,20770.47483104639,01,99 yrs lease commencing from 2002
48,SOUTH BUONA VISTA ROAD,BAYVILLE CONDOMINIUM,RCR,22929.698,29289.57472,1.2811586078585222,103.78775997363219,11222.833682101906,05,Freehold
49,LOWER DELTA ROAD,TERESA VILLE,RCR,26965.66085,28719.4974,1.276003419277985,103.82402466347922,11802.23313792964,04,Freehold
50,PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,RCR,21465.79541,30327.71619,1.2905469205790892,103.77460603766109,11411.850499692393,05,Freehold
51,ANSON ROAD,INTERNATIONAL PLAZA,CCR,29399.97237,28720.47273,1.27601222589155,103.8458978435635,11583.888642811891,02,99 yrs lease commencing from 1970
52,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,RCR,29180.94253,29798.08059,1.285757742307,103.8439298203305,7636.207198273347,01,99 yrs lease commencing from 1970
53,KEE SENG STREET,ONZE @ TANJONG PAGAR,RCR,28986.74224,28591.93026,1.2748497483784151,103.8421848156477,26425.295519202155,02,Freehold
54,CANTONMENT ROAD,THE BEACON,RCR,28797.12004,28705.27847,1.2758748352120268,103.84048099436532,14300.68492985867,02,99 yrs lease commencing from 2004
55,NORTH BRIDGE ROAD,ONE NORTH BRIDGE,CCR,29768.65001,30271.32424,1.2900375640004642,103.84921063350029,15908.108108108108,06,99 yrs lease commencing from 1969
56,YAN KIT ROAD,THE ARRIS,RCR,28921.21402,28663.94969,1.2755010688441335,103.84159602294739,20219.33095754463,02,Freehold
57,PASIR PANJANG CLOSE,PASIR PANJANG COURT,RCR,21244.51941,30525.10261,1.2923319660205232,103.77261773929267,12102.643787564768,05,Freehold
58,BALMEG HILL,THE PEAK@BALMEG,RCR,22492.95109,29433.20441,1.28245747065198,103.78383561134912,14395.482309107349,05,Freehold
59,PARK ROAD,PEOPLE'S PARK COMPLEX,RCR,29031.25485,29617.94078,1.2841286263583669,103.84258481080047,10231.390662929442,01,99 yrs lease commencing from 1968
60,PASIR PANJANG ROAD,HARBOUR VIEW GARDENS,RCR,22661.68929,29042.087,1.2789203722216935,103.7853518548633,18881.764986979062,05,Freehold
61,JALAN PASIR RIA,RIA APARTMENTS,RCR,23459.49008,28779.20569,1.276543091154065,103.79252043046003,12755.102040816326,05,Freehold
62,STAMFORD ROAD,EDEN RESIDENCES CAPITOL,CCR,29972.99637,30597.55094,1.2929878313129173,103.85104679070567,33684.21727857664,06,99 yrs lease commencing from 2011
63,WEST COAST WALK,THE PARC CONDOMINIUM,OCR,20145.84021,32576.59566,1.3108846759079054,103.7627451324895,13765.394594001093,05,Freehold
64,PASIR PANJANG ROAD,THE SPECTRUM,RCR,20795.72918,30427.46067,1.2914488269703326,103.7685851939768,11819.987559890194,05,Freehold
65,NORMANTON PARK,NORMANTON PARK (DEMOLISHED),RCR,23571.83951,29982.80074,1.2874279959821326,103.79352976308824,9044.69456696287,05,102 yrs lease commencing from 1977
66,OCEAN DRIVE,THE BERTH BY THE COVE,CCR,29446.56751,25758.09864,1.2492215480522937,103.84631638503964,14058.271269503452,04,99 yrs lease commencing from 2004
67,PASIR PANJANG ROAD,PASIR VIEW PARK,RCR,22906.76265,29029.8394,1.2788096497308752,103.7875539324253,12981.600355375725,05,Freehold
68,UPPER CIRCULAR ROAD,RIVERWALK APARTMENTS,RCR,29680.47392,30154.93846,1.2889850167708692,103.84841832856681,15788.416554206027,01,99 yrs lease commencing from 1980
69,YONG SIAK STREET,TIONG BAHRU ESTATE,RCR,27664.86248,29434.86779,1.2824729935019878,103.83030723847648,17430.351906158357,03,Freehold
70,WEST COAST ROAD,THE STELLAR,OCR,20715.66618,30688.13741,1.2938062757003783,103.76786573438729,12394.419445354262,05,Freehold
71,PASIR PANJANG ROAD,VILLAGE @ PASIR PANJANG,RCR,20960.59138,30363.53478,1.2908707415753093,103.7700665634482,15129.674610913118,05,Freehold
72,JALAN LEMPENG,THE TRILINQ,OCR,19966.91281,33433.18732,1.3186313361523325,103.76113716107005,14354.940834090756,05,99 yrs lease commencing from 2012
73,WEST COAST CRESCENT,WEST BAY CONDOMINIUM,OCR,20439.95978,31284.53946,1.2991998567096372,103.7653882522013,9106.97358067466,05,99 yrs lease commencing from 1991
74,BENCOOLEN STREET,THE BENCOOLEN,RCR,30229.99749,31556.68541,1.3016618882507491,103.85335612316274,13905.955482434194,07,99 yrs lease commencing from 1995
75,COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,RCR,25017.08346,30871.2987,1.2954634291932612,103.80651578015957,18952.07738292929,03,99 yrs lease commencing from 2013
76,JIAK KIM STREET,RIVIERE,RCR,28218.49314,30455.31905,1.2917015975178603,103.83528183209687,29058.91910906978,03,99 yrs lease commencing from 2018
77,PRINCE CHARLES CRESCENT,TANGLIN VIEW,RCR,26216.73826,30495.57934,1.292065647242285,103.81729521990172,13659.292027131978,03,99 yrs lease commencing from 1997
78,PASIR PANJANG ROAD,PALM MANSIONS,RCR,21631.63012,30143.44619,1.2888804824410658,103.77609616811789,11724.476685260997,05,Freehold
79,OUTRAM ROAD,RESIDENTIAL APARTMENTS,RCR,28228.44398,29542.98578,1.2834507756637106,103.83537123803058,16071.42857142857,03,Freehold
80,WEST COAST DRIVE,NEWEST,OCR,19556.7007,33187.93129,1.3164132188899726,103.75745126360631,9551.349648491376,05,956 yrs lease commencing from 1928
81,WEST COAST CRESCENT,SEAHILL,OCR,20276.79404,31255.97602,1.2989414990970318,103.76392214315149,14648.44562060142,05,99 yrs lease commencing from 2011
82,WEST COAST PARK,THE INFINITI,OCR,19327.16701,33475.9258,1.3190176730590386,103.75538870759287,11708.493925519691,05,Freehold
83,BEACH ROAD,FU YUEN BUILDING,CCR,30568.61353,31050.1668,1.297081086415781,103.8563987009313,16600.790513833992,07,999 yrs lease commencing from 1827
84,ALEXANDRA ROAD,ALEXIS,RCR,25110.45619,30392.50599,1.291133405459619,103.8073548186114,16852.272890644523,03,Freehold
85,JERVOIS LANE,CLYDESVIEW,RCR,26307.14894,30719.66766,1.2940922282047955,103.81810758592525,13413.857493057474,03,Freehold
