,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
0,CHEN FAMILY CLINIC,CHAS Clinic,153 SERANGOON NORTH AVE 1 550153,1.36995099695439,103.872312298307,CHEN FAMILY CLINIC 153 SERANGOON NORTH AVE 1,ChIJ87EQ6lYW2jERUySifNftWtI,18.0,4.1,0.0005566034818640033,3.434443238165443
1,CHENG CLINIC,CHAS Clinic,447 ANG MO KIO AVE 10 560447,1.36747901395741,103.855967138976,CHENG CLINIC 447 ANG MO KIO AVE 10,ChIJm2EwyvwW2jERLwUt9mASBnQ,5.0,3.4,0.00015461207829555644,3.434067312612655
2,CHEONG FAMILY CLINIC PTE LTD,CHAS Clinic,45 OWEN RD 210045,1.31559567557441,103.850825476113,CHEONG FAMILY CLINIC PTE LTD 45 OWEN RD,ChIJvcJKnMQZ2jERQROXzDMoWL8,20.0,3.5,0.0006184483131822258,3.4341133533464543
3,CHEONG MEDICAL CLINIC,CHAS Clinic,76 JLN JURONG KECHIL 598589,1.34054866770426,103.77332960556,CHEONG MEDICAL CLINIC 76 JLN JURONG KECHIL,ChIJ96j1JGIQ2jERi92-rqkkGEk,11.0,3.6,0.0003401465722502242,3.4341290202880974
4,CHERN MEDICAL CLINIC,CHAS Clinic,138 TAMPINES ST 11 521138,1.34550450587014,103.945588355489,CHERN MEDICAL CLINIC 138 TAMPINES ST 11,ChIJp26ARxY92jERxKzsX3tSGvA,4.0,4.0,0.00012368966263644516,3.4341425800167387
5,CHESTMED pte ltd,CHAS Clinic,3 Mount Elizabeth 228510,1.30516521414744,103.83543933754,CHESTMED pte ltd 3 Mount Elizabeth,ChIJHacSR5IZ2jERWspT20XNvqo,2.0,5.0,6.184483131822258e-05,3.4341694251622683
6,CHIA & LEE MEDICAL & DENTAL CLINIC,CHAS Clinic,802 TAMPINES AVE 4 520802,1.34608442387087,103.93803402297,CHIA & LEE MEDICAL & DENTAL CLINIC 802 TAMPINES AVE 4,ChIJx3OZNhU92jERM12IAZD6PHI,14.0,3.0,0.00043291381922755807,3.4338846646264525
7,CHIA CLINIC AND SURGERY,CHAS Clinic,27 FOCH ROAD 209264,1.31270180835768,103.859968796046,CHIA CLINIC AND SURGERY 27 FOCH ROAD,ChIJ1R_r0c4Z2jERYqfCNOkgboU,4.0,3.0,0.00012368966263644516,3.4340188903541025
8,CHIEW CLINIC,CHAS Clinic,2 KOVAN ROAD 548008,1.36197602911345,103.88499280169,CHIEW CLINIC 2 KOVAN ROAD,ChIJBfo3e7MX2jER6E7DSFvphe8,23.0,3.5,0.0007112155601595596,3.434119469251648
9,CHIN CHOO CLINIC,CHAS Clinic,35 CIRCUIT ROAD 370035,1.32915899651205,103.886010316195,CHIN CHOO CLINIC 35 CIRCUIT ROAD,ChIJnfVu0IsX2jERI9BnoAwhXJQ,19.0,4.2,0.0005875258975231145,3.434522582839656
10,CHIN LEONG CLINIC,CHAS Clinic,517 WEST COAST ROAD 120517,1.30747684403086,103.7601572777,CHIN LEONG CLINIC 517 WEST COAST ROAD,ChIJH1nQ2-wa2jER1688KExBP44,8.0,3.6,0.0002473793252728903,3.4341136276582063
11,CHINATOWN WELLNESS CLINIC,CHAS Clinic,531 UPPER CROSS STREET 050531,1.28439238197795,103.846101472114,CHINATOWN WELLNESS CLINIC 531 UPPER CROSS STREET,ChIJkao7m5EZ2jERFLq5ij8F_3s,5.0,4.2,0.00015461207829555644,3.4341910022752917
12,CHIRON MEDICAL CLINIC,CHAS Clinic,3 ST. GEORGE'S ROAD 320003,1.32258735163112,103.861107276896,CHIRON MEDICAL CLINIC 3 ST. GEORGE'S ROAD,ChIJm6PZvtYZ2jERuz5OmwHOjz0,14.0,4.0,0.00043291381922755807,3.4343175784456803
13,CHNG CLINIC AND SURGERY,CHAS Clinic,178 TOA PAYOH CENTRAL 310178,1.33358025833851,103.849264521174,CHNG CLINIC AND SURGERY 178 TOA PAYOH CENTRAL,ChIJj3DP92YX2jERusk-YMqbM_A,13.0,2.8,0.00040199140356844676,3.433817688918504
14,CHONG & LIM FAMILY CLINIC,CHAS Clinic,103 GANGSA ROAD 670103,1.37867070866309,103.768538441068,CHONG & LIM FAMILY CLINIC 103 GANGSA ROAD,ChIJu0v59qMR2jERmqqOu4Bg870,10.0,2.8,0.0003092241565911129,3.4338765100861943
15,CHONG MEDICAL CLINIC,CHAS Clinic,703 BEDOK RESERVOIR ROAD 470703,1.33716507465033,103.91989305506,CHONG MEDICAL CLINIC 703 BEDOK RESERVOIR ROAD,ChIJx561iFk92jER8nplwgZgmDg,1.0,5.0,3.092241565911129e-05,3.434121002903715
16,CHONG'S MEDICAL CENTRE,CHAS Clinic,190 CLEMENCEAU AVE 239924,1.29815265418204,103.844111318068,CHONG'S MEDICAL CENTRE 190 CLEMENCEAU AVE,ChIJU25fA5gZ2jERRUq9PpbdiUA,12.0,3.3,0.00037106898790933545,3.4340228304683555
17,CHOONG'S CLINIC,CHAS Clinic,480 TAMPINES ST 44 520480,1.36189869571333,103.953613062624,CHOONG'S CLINIC 480 TAMPINES ST 44,ChIJQyDzPQc92jERs7JzNUXyHZU,14.0,3.0,0.00043291381922755807,3.4338846646264525
18,CHOONG'S CLINIC,CHAS Clinic,21 OLD AIRPORT RD 390021,1.3075861395776,103.88441304265,CHOONG'S CLINIC 21 OLD AIRPORT RD,ChIJXWuVXkcY2jEROQvQSIv3pD0,18.0,3.5,0.0005566034818640033,3.4341092760763248
19,CHUA CLINIC,CHAS Clinic,678 HOUGANG AVE 8 530678,1.37084076367772,103.884236382226,CHUA CLINIC 678 HOUGANG AVE 8,ChIJk1gSIE8W2jERo3iFNsbPi_I,9.0,3.3,0.00027830174093200163,3.434035268012557
20,CHUA CLINIC & SURGERY,CHAS Clinic,769 YISHUN AVE 3 760769,1.42460205341205,103.83322239147,CHUA CLINIC & SURGERY 769 YISHUN AVE 3,ChIJafh1B3IU2jERsHQeB5wN5LM,4.0,3.3,0.00012368966263644516,3.434055997252893
21,CHUA CLINIC & SURGERY,CHAS Clinic,844 YISHUN ST 81 760844,1.41562517359593,103.835446503405,CHUA CLINIC & SURGERY 844 YISHUN ST 81,ChIJV3dKKBIU2jERtNf0AdZBo4g,10.0,2.7,0.0003092241565911129,3.433845587670535
22,CHUA MEDICO CLINIC LLP,CHAS Clinic,529 ANG MO KIO AVE 10 560529,1.37234358213412,103.85545542764,CHUA MEDICO CLINIC LLP 529 ANG MO KIO AVE 10,ChIJTfn0ReUW2jERuU9OFNu9n4w,42.0,2.1,0.0012987414576826743,3.4323399652771203
23,CHUAH CLINIC & SURGERY PTE LTD,CHAS Clinic,113 ALJUNIED AVE 2 380113,1.32052595944466,103.886159306963,CHUAH CLINIC & SURGERY PTE LTD 113 ALJUNIED AVE 2,ChIJz-oM7SMY2jER1UqkjmIrd64,15.0,2.9,0.00046383623488666933,3.433824858430199
24,CHUNGKIAW CLINIC PTE LTD,CHAS Clinic,68 JALAN JURONG KECHIL 596180,1.34054847931538,103.773649129579,CHUNGKIAW CLINIC PTE LTD 68 JALAN JURONG KECHIL,ChIJyzfhHYoQ2jERdqHgZKyn_1M,10.0,4.0,0.0003092241565911129,3.4342475790741034
25,CITILIFE FAMILY CLINIC,CHAS Clinic,215 JURONG EAST ST 21 600215,1.33993327230313,103.738514477814,CITILIFE FAMILY CLINIC 215 JURONG EAST ST 21,ChIJbz-fRxoQ2jERVuxOOdKGTno,5.0,3.2,0.00015461207829555644,3.434036390196996
26,CITIZEN FAMILY CLINIC AND SURGERY,CHAS Clinic,102 YISHUN AVE 5 760102,1.43061830395979,103.828762985206,CITIZEN FAMILY CLINIC AND SURGERY 102 YISHUN AVE 5,ChIJG0pyl3oU2jERjM5iJyJ43mo,51.0,4.7,0.0015770431986146757,3.436069002871795
27,CLARION MEDICAL,CHAS Clinic,202 ANG MO KIO AVENUE 3 560202,1.36844644023912,103.844516260553,CLARION MEDICAL 202 ANG MO KIO AVENUE 3,ChIJ__9vAd4W2jERhTtDlecjL7E,78.0,4.9,0.002411948421410681,3.437608321970177
28,DA Clinic @ Bishan,CHAS Clinic,501 BISHAN STREET 11 570501,1.34841689766538,103.84907733333,DA Clinic @ Bishan 501 BISHAN STREET 11,ChIJpfXbtScX2jERw2Y4yudtEzY,42.0,2.8,0.0012987414576826743,3.433249084297498
29,1 Medical Teck Ghee,CHAS Clinic,410 ANG MO KIO AVENUE 10 560410,1.36271541943285,103.854644986918,1 Medical Teck Ghee 410 ANG MO KIO AVENUE 10,ChIJq6qaFB0X2jERVTzJfaiFLfw,45.0,4.4,0.0013915087046600081,3.4354166770572636
30,115 EASTPOINT CLINIC & SURGERY,CHAS Clinic,115 BEDOK NORTH RD 460115,1.33143367986449,103.936865404289,115 EASTPOINT CLINIC & SURGERY 115 BEDOK NORTH RD,ChIJjbl970k92jERbh5JJVoKOiw,2.0,3.0,6.184483131822258e-05,3.4340457354996317
31,18 CLINIC,CHAS Clinic,101 TOWNER ROAD 322101,1.31942539044681,103.861087462865,18 CLINIC 101 TOWNER ROAD,ChIJqe-U-tAZ2jERwNJp4nC6404,30.0,4.5,0.0009276724697733387,3.4350614121668737
