,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1167,Changi Simei CC,Community Centre,10 Simei Street 2 529915,1.34493553057398,103.955110948119,Changi Simei CC 10 Simei Street 2,ChIJrzknUh892jERvwiQA4cBlu4,689.0,4.2,0.01396800940661301,4.15380751035058
1168,Punggol CC,Community Centre,3 Hougang Avenue 6 538808,1.3743788214828,103.891815328408,Punggol CC 3 Hougang Avenue 6,ChIJxZko9l0X2jERxiYyThifaTs,16.0,4.3,0.00032436596590102785,4.153200785272471
1169,Woodlands Galaxy CC,Community Centre,31 Woodlands Avenue 6 738991,1.43904160690114,103.802610984283,Woodlands Galaxy CC 31 Woodlands Avenue 6,ChIJH8K10p8T2jERZ1EVYVpGL8c,755.0,4.3,0.01530601901595475,4.155400793783425
1170,Yew Tee CC,Community Centre,20 Choa Chu Kang Street 52 689286,1.39491758447052,103.744727853367,Yew Tee CC 20 Choa Chu Kang Street 52,ChIJqQr7ofER2jERH_EFPnj1qC4,593.0,4.2,0.012021813611206845,4.153716337214219
1171,Yio Chu Kang CC,Community Centre,50 Ang Mo Kio Street 61 569163,1.38151727157775,103.841428124035,Yio Chu Kang CC 50 Ang Mo Kio Street 61,ChIJFdT088AW2jERv4-U3wAxo0E,373.0,4.0,0.007561781580067712,4.151995042460711
1172,Cairnhill CC,Community Centre,1 Anthony Road 229944,1.3104343381511,103.838864880096,Cairnhill CC 1 Anthony Road,ChIJ6wSMeewZ2jERnRkQnVf_7-c,304.0,4.3,0.0061629533521195285,4.154058163420176
1173,Fengshan CC (Till 3Q 2021),Community Centre,187B Bedok North Street 4 462187,1.33049879236922,103.939995692517,Fengshan CC (Till 3Q 2021) 187B Bedok North Street 4,ChIJm1F3HUo92jERUztUGDVbOYI,127.0,3.9,0.0025746548543394083,4.152501371158497
1178,Yuhua CC,Community Centre,90 Boon Lay Way 609958,1.33997285278881,103.737065915264,Yuhua CC 90 Boon Lay Way,ChIJ72UutBsQ2jERo9kuR_0VQVg,575.0,4.2,0.011656901899568188,4.153699242251151
1179,Zhenghua CC,Community Centre,1 Segar Road 677738,1.3868068291971,103.771520846382,Zhenghua CC 1 Segar Road,ChIJn3ut854R2jERfkj909V6YhA,469.0,3.9,0.009507977375473878,4.150746178700443
1180,Leng Kee CC,Community Centre,400 Lengkok Bahru 159049,1.28978711891653,103.81444834816,Leng Kee CC 400 Lengkok Bahru,ChIJZ4nitywa2jERVHZmtznHoJY,53.0,4.4,0.0010744622620471548,4.153418380774596
