,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1288,The Stable Mixed Martial Arts,Gym,100 Turf Club Road 287992,1.3342195983767,103.795898242377,The Stable Mixed Martial Arts 100 Turf Club Road,ChIJpVnOEOIR2jERJ6xmYXUS6WQ,20.0,4.6,0.0010120945296290674,3.4939263406338843
1289,Bishan ClubFITT Gym,Gym,5 Bishan St. 4 579783,1.35528262760188,103.850922071159,Bishan ClubFITT Gym 5 Bishan St. 4,ChIJx7bZHBoX2jERS9oqStWZsAE,132.0,4.0,0.006679823895551844,3.496193723630477
1290,The Yoga Place,Gym,328 King George's Ave 208568,1.30992191079359,103.862090963732,The Yoga Place 328 King George's Ave,ChIJ6x861csZ2jERoaHuY9IcV_E,0.0,0.0,0.0,3.492805755395683
1292,Slender Shapes - Serangoon Gardens Way,Gym,85A Serangoon Gardens Way 555981,1.36389982541919,103.864884313373,Slender Shapes - Serangoon Gardens Way 85A Serangoon Gardens Way,ChIJLbsw1f8W2jERntJtkdpd5ZM,218.0,4.6,0.011031830372956835,3.505020134492072
1293,Woodlands ClubFITT Gym,Gym,495 WoodlandsCentre 738597,1.43489537703518,103.780306573729,Woodlands ClubFITT Gym 495 WoodlandsCentre,ChIJ63CtJbA92jERHCySfnqil9c,721.0,4.2,0.03648600779312788,3.5186084501155714
1294,Yio Chu Kang ClubFITT Gym,Gym,200 Ang Mo Kio Ave 9 569770,1.38227243116352,103.845767858372,Yio Chu Kang ClubFITT Gym 200 Ang Mo Kio Ave 9,ChIJ6QxOt-oW2jERzmxWitxvwMM,427.0,4.1,0.021608218207580587,3.50592614112748
1295,Yishun ClubFITT Gym,Gym,101 YishunAve 1 769130,1.41201836574556,103.83117739651,Yishun ClubFITT Gym 101 YishunAve 1,ChIJF1vVlg8U2jERUiRDDno7WWo,568.0,4.1,0.028743484641465512,3.510258633839854
1297,Fitness First - One Raffles Quay,Gym,1 Raffles Quay 48583,1.28089478900143,103.851677105821,Fitness First - One Raffles Quay 1 Raffles Qua,ChIJmcUnag4Z2jERW51bPSTihd0,135.0,4.3,0.006831638074996205,3.4983202143310397
1298,Fitness First - Paragon,Gym,41282  238859,1.30372322367268,103.835240311923,Fitness First - Paragon 41282 ,ChIJFWHhL5IZ2jERopBfVCmG2bU,178.0,3.8,0.0090076413136987,3.4955728509647113
1299,True Fitness - Great World City,Gym,1 Kim Seng Promenade 237994,1.29380236091495,103.831757911005,True Fitness - Great World City 1 Kim Seng Promenade,ChIJu3mTX4MZ2jER310q-q4b1JA,91.0,3.0,0.004605030109812256,3.4905363700537975
1300,California Fitness - Bugis,Gym,230 Victoria Street 188024,1.30014248326867,103.855786976518,California Fitness - Bugis 230 Victoria Street,ChIJGUZLmroZ2jERhrmJUS3wGLY,3.0,2.0,0.0001518141794443601,3.492579126314858
1301,Fitness First - AMK Hub,Gym,53 Ang Mo Kio Ave 3 569933,1.36924890739398,103.848399235571,Fitness First - AMK Hub 53 Ang Mo Kio Ave 3,ChIJUYZa0eYW2jERdhXn9X6Z5eo,150.0,3.8,0.007590708972218006,3.4951375775044147
1302,California Fitness - Velocity@Novena Square,Gym,3 Velocity @ Novena 307683,1.32021101601674,103.843656771807,California Fitness - Velocity@Novena Square 3 Velocity @ Novena,ChIJVVVVcOcZ2jERuHgJL1B5Aj4,520.0,4.2,0.02631445777035575,3.511415188480762
1303,Fitness First - Alexandra (Mapletree Business City),Gym,20 Pasir Panjang Road 117439,1.274827493389,103.799064826968,Fitness First - Alexandra (Mapletree Business City) 20 Pasir Panjang Road,ChIJvR-TrsAb2jER3B8S7Xu3JAY,98.0,4.3,0.00495926319518243,3.4968088441043124
1304,Evolve MMA - POMO Mall,Gym,1 Selegie Road 188306,1.3001084594134,103.849264282609,Evolve MMA - POMO Mall 1 Selegie Road,ChIJuYQ3krwZ2jERHDX7V5cIdV8,24.0,5.0,0.0012145134355548808,3.494636263055746
1305,Fitness First - Captial Tower,Gym,  68912,1.27771181456553,103.847522674168,Fitness First - Captial Tower ,ChIJ_e6j_hIZ2jER5bhQD8cxDT8,82.0,4.1,0.004149587571479176,3.4953253610865667
1307,California Fitness - Raffles,Gym,14 Raffles Place 48619,1.28348363887373,103.850574044319,California Fitness - Raffles 14 Raffles Plac,ChIJn25cmQ4Z2jERE_JNrLiXoyk,7.0,2.4,0.00035423308537017357,3.4924186474412386
1308,True Fitness - Suntec City,Gym,3 Temasek Boulevard 38983,1.29487905112126,103.857675501543,True Fitness - Suntec City 3 Temasek Boulevar,ChIJg0PyuKgZ2jERUFjB7lG2Qnc,143.0,3.2,0.007236475886847831,3.490686873607232
1309,Union Yoga Ayurveda (Kembangan Branch),Gym,14D Kingston Terrace 418935,1.31988383852338,103.912862460833,Union Yoga Ayurveda (Kembangan Branch) 14D Kingston Terrace,ChIJKzVQOwcY2jERwLDsj7F9Rpk,35.0,4.5,0.001771165426850868,3.494589663019849
1310,Union Yoga Ayurveda (Beauty World Branch),Gym, 51 Chun Tin Road 599625,1.34174220136525,103.772716769692,Union Yoga Ayurveda (Beauty World Branch)  51 Chun Tin Road,ChIJf2ba4l4Q2jERf8xciJa6s-w,48.0,4.7,0.0024290268711097615,3.495738062654476
1311,Rhythmic Yoga Works,Gym,575 Orchard Road 188091,1.29800183598617,103.856934794867,Rhythmic Yoga Works 575 Orchard Road,ChIJI69T5YwZ2jER_xq7dYyO9IY,0.0,0.0,0.0,3.492805755395683
1312,Neue,Gym, 1 Stadium place #02-07 397628,1.30384327849927,103.872750707738,Neue  1 Stadium place #02-07,ChIJ4xGaZkkY2jERCb4p3nH2fHE,57.0,5.0,0.002884469409442842,3.4971532110883325
1313,Om Shiva Yoga - Chip Bee,Gym,45 Jalan Rumia 278000,1.31099316329402,103.797538795862,Om Shiva Yoga - Chip Bee 45 Jalan Rumia,ChIJe1UhO2sa2jERGXrKL1VHkgA,1.0,5.0,5.060472648145337e-05,3.4928820265481857
1314,Om Shiva Yoga - Horse City,Gym,100 Turf Club Road 287992,1.3342195983767,103.795898242377,Om Shiva Yoga - Horse City 100 Turf Club Road,ChIJxcPANZgQ2jER1FwtnMk_MKI,5.0,5.0,0.00025302363240726686,3.493187111158196
1315,OMG Yoga,Gym,134 Jurong Gateway Road 600134,1.33386246359672,103.73870827223,OMG Yoga 134 Jurong Gateway Road,ChIJA6zioAUQ2jER82IACB5QZWI,1.0,1.0,5.060472648145337e-05,3.49267960764226
1316,Philip Wain,Gym,101 Thomson Road 307591,1.31733464253519,103.843463185078,Philip Wain 101 Thomson Road,ChIJswRqCegZ2jERfKNEnaXpDzQ,52.0,4.1,0.0026314457770355753,3.4944035541264875
1317,Pure Fitness - Knightsbridge (Asia Square),Gym,8 Marina View 238857,1.30310526758961,103.836202014579,Pure Fitness - Knightsbridge (Asia Square) 8 Marina View,ChIJ6Zgp8REZ2jER4siEfDg88rs,55.0,4.2,0.0027832599564799354,3.494774060818143
1318,Krav Maga Singapore,Gym,39 North Canal Road 59295,1.28712786568231,103.84702569567,Krav Maga Singapore 39 North Canal Roa,ChIJJawUYAoZ2jERR1KO4ICbmiA,17.0,4.9,0.0008602803501847072,3.494016336953209
1319,Fitness First - Tampines,Gym,1 Tampines Central 529508,1.35308485692255,103.943586936734,Fitness First - Tampines 1 Tampines Central,ChIJV1VV7RE92jER8ASeTYkCiKc,142.0,4.3,0.007185871160366378,3.498606149238799
1320,iPilates,Gym,8 Claymore Hill 229572,1.30763492632515,103.83203806691,iPilates 8 Claymore Hill,ChIJQ0GHNY0Z2jERCeo4sZ5q4Kc,0.0,0.0,0.0,3.492805755395683
1321,California Fitness - Orchard- Ngee Ann City,Gym,8 Ngee Ann City 238873,1.30242417909429,103.83467613466,California Fitness - Orchard- Ngee Ann City 8 Ngee Ann City,ChIJrWLwHZIZ2jERm7Z5Zc5lx8s,91.0,4.3,0.004605030109812256,3.4965229091965533
1322,True Fitness - China Square Central,Gym,18 Cross Street 48423,1.28351522358922,103.846878913529,True Fitness - China Square Central 18 Cross Stree,ChIJJawUYAoZ2jERgm1jA-mhVw0,68.0,4.4,0.003441121400738829,3.4959275209254184
1323,Sky Pilates,Gym,541 Orchard Road 238881,1.30508723301058,103.830722583997,Sky Pilates 541 Orchard Road,ChIJIUvqro0Z2jERExhY6iTu3F0,6.0,4.8,0.0003036283588887202,3.493202656638921
1324,Slender Shapes - Eunos,Gym,60 Kaki Bukit Place 415979,1.33407188854164,103.904054104624,Slender Shapes - Eunos 60 Kaki Bukit Place,ChIJAQBwo_oX2jERbFHH2Wz7dc0,0.0,0.0,0.0,3.492805755395683
1325,Core Fitness Physiotherapy & Pilates Centre  - Forum The Shopping Mall,Gym,583 Orchard Road 238884,1.30619579913532,103.828509016301,Core Fitness Physiotherapy & Pilates Centre  - Forum The Shopping Mall 583 Orchard Road,ChIJrXJ2jYwZ2jERbOolBIbmlWk,33.0,4.9,0.001669955973887961,3.4951557078308806
1328,Curves - Marine Parade,Gym,1 Marine Parade Central 160140,1.2781561439556,103.829524333744,Curves - Marine Parade 1 Marine Parade Central,ChIJz6fYFHEY2jER8ZfuVvdNzDE,0.0,0.0,0.0,3.492805755395683
1329,Elements Pilates,Gym, Tanglin Road 247918,1.30527220041532,103.825078878265,Elements Pilates  Tanglin Road,ChIJVaxrUIoZ2jER03MLrEjKZyE,4.0,5.0,0.00020241890592581348,3.493110840005694
1330,Evolve MMA - Far East Square,Gym,26 China Street 49568,1.28305772642104,103.84782090171,Evolve MMA - Far East Square 26 China Stree,ChIJjwE19AwZ2jERTRrbNq14leA,204.0,4.8,0.010323364202216486,3.506300397665775
1331,Fitness First - Millenia Walk,Gym,9 Raffles Boulevard 39596,1.29296504773614,103.859343974188,Fitness First - Millenia Walk 9 Raffles Boulevar,ChIJo_z7IqkZ2jERE1tkSZmYR8o,5064.0,4.2,0.25626233490207984,3.6740330037472977
1332,Fitness First - One George Street,Gym,  49145,1.28554561731843,103.847771918338,Fitness First - One George Street ,ChIJ-wGHnwsZ2jERgPyF2OTPPWo,191.0,4.4,0.009665502757957594,3.5015742438689093
1333,Amore Fitness - Heartland Mall,Gym,205 Hougang Street 21 530205,1.35949663830553,103.885079928732,Amore Fitness - Heartland Mall 205 Hougang Street 21,ChIJud-5-bMX2jERxzf9hXq9hxo,4.0,2.0,0.00020241890592581348,3.4925035832879163
1334,Amore Fitness - Plaza Singapura,Gym,68 Orchard Road 238839,1.30074756196423,103.845047628503,Amore Fitness - Plaza Singapura 68 Orchard Road,ChIJHwAAsA492jER2ZxCQaptUv8,15.0,3.7,0.0007590708972218005,3.492963030516834
1335,Amore Fitness - Thomson Plaza,Gym,301 Upper Thomson Road 574408,1.35466901882051,103.830919788426,Amore Fitness - Thomson Plaza 301 Upper Thomson Road,ChIJN0cGKDAX2jEROMBhjT3JfyM,2.0,2.0,0.00010120945296290674,3.4926546693417997
1336,Bikram Yoga,Gym,252 North Bridge Road 179103,1.2938935875293,103.853119912535,Bikram Yoga 252 North Bridge Road,ChIJUwTgFI0Z2jERA3vKfFLyf_A,7.0,3.3,0.00035423308537017357,3.492737457218072
1337,Bikram Yoga Harbourfront,Gym,  99253,1.26206336450486,103.818625588159,Bikram Yoga Harbourfront ,ChIJAy62PeIb2jER-1yCcSJWO-s,5.0,3.2,0.00025302363240726686,3.4927316686198626
