,ID,Category,Name,Coordinates,avg_rating,num_ratings,long,lat,W,weighted_rating
0,1,Hawker Centre,Bedok North Street 4 Blk 85 (85 Fengshan Centre),"103.938732580554,1.33198706861747,0.0",4.3,1064,103.938732580554,1.33198706861747,0.08802117802779616,4.0877158540451255
1,2,Hawker Centre,Redhill Lane Blk 85 (Redhill Food Centre),"103.818338919994,1.28733076703987,0.0",4.2,1942,103.818338919994,1.28733076703987,0.16065519523494376,4.0885575805437995
2,3,Hawker Centre,Sembawang Hills Food Centre (Jalan Leban Food Centre),"103.828994204342,1.37238494002145,0.0",3.9,1891,103.828994204342,1.37238494002145,0.1564361350099272,4.04106656229666
3,4,Hawker Centre,Serangoon Garden Market,"103.866737484646,1.3631571201113,0.0",4.1,2436,103.866737484646,1.3631571201113,0.20152217074784912,4.073831398873249
4,5,Hawker Centre,Shunfu Road Blk 320 (Shunfu Mart),"103.837031803823,1.35200744198417,0.0",3.9,1574,103.837031803823,1.35200744198417,0.13021178027796163,4.045451979600577
5,6,Hawker Centre,Sims Place Blk 49 (Sims Vista Market and Food Centre),"103.879417030673,1.31708335109103,0.0",4.0,2181,103.879417030673,1.31708335109103,0.18042686962276638,4.0550973533026715
6,7,Hawker Centre,Smith Street Blk 335 (Chinatown Complex Market),"103.843177616296,1.28223514826381,0.0",4.1,5478,103.843177616296,1.28223514826381,0.45317670416942424,4.082078900388746
7,8,Hawker Centre,Taman Jurong Market and Food Centre,"103.721519868629,1.33458935951076,0.0",4.2,4086,103.721519868629,1.33458935951076,0.3380211780277962,4.1121070135532705
8,9,Hawker Centre,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),"103.944624481151,1.3456395210229,0.0",4.1,3168,103.944624481151,1.3456395210229,0.26207809397749837,4.075816004760608
9,10,Hawker Centre,Tanglin Halt Market,"103.797625756738,1.30078931480841,0.0",4.1,1575,103.797625756738,1.30078931480841,0.13029450694904038,4.071497046866398
10,11,Hawker Centre,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),"103.843166992138,1.27661461066321,0.0",4.1,1734,103.843166992138,1.27661461066321,0.14344804765056254,4.0719281292927505
11,12,Hawker Centre,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),"103.742891623681,1.32084835041654,0.0",3.9,1749,103.742891623681,1.32084835041654,0.14468894771674387,4.043031007902831
12,13,Hawker Centre,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),"103.818641695106,1.27736683810318,0.0",4.0,1790,103.818641695106,1.27736683810318,0.14808074123097287,4.057271882942456
13,14,Hawker Centre,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),"103.807626838954,1.27336828250285,0.0",4.0,1358,103.807626838954,1.27336828250285,0.11234281932495037,4.0596744323142895
14,16,Hawker Centre,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),"103.82211725658,1.27271579716508,0.0",3.8,592,103.82211725658,1.27271579716508,0.04897418927862343,4.054139670428066
15,17,Hawker Centre,Tiong Bahru Market,"103.832348785334,1.28508825756819,0.0",4.3,8514,103.832348785334,1.28508825756819,0.7043348775645268,4.231177110155777
