,ID,Category,Name,long,lat,avg_rating,num_ratings,W,weighted_rating
0,1,Malls,100 AM,103.8435656,1.2750063,4.1,3396,0.004079455688173903,4.064641874166443
1,2,Malls,313@somerset,103.838361,1.300898,4.3,13668,0.016418728017067404,4.068363700444254
2,3,Malls,Aperia Mall,103.8641481,1.3103708,3.8,2518,0.003024755424859213,4.0636970025592225
3,4,Malls,Balestier Hill Shopping Centre,103.8428618,1.3258546,3.8,17,2.042130350381518e-05,4.064491640045759
4,5,Malls,Bugis Cube,103.8556572,1.2981918,3.9,880,0.0010571027696092564,4.06432315114204
5,6,Malls,Bugis Junction,103.8555261,1.2993754,4.4,11217,0.01347445655307617,4.06901776145893
6,7,Malls,Bugis+,103.8542191,1.2995955,4.3,9993,0.012004122700801477,4.067324047831312
7,8,Malls,Capitol Singapore,103.8511619,1.2929876,4.1,3064,0.003680639643275865,4.06462771501692
8,9,Malls,Cineleisure Orchard,103.8365735,1.3016866,4.1,4780,0.0057419900440139155,4.064700899054817
9,10,Malls,Clarke Quay Central,103.8466098,1.2890252,4.2,9129,0.010966239981548751,4.065982999382114
10,11,Malls,The Centrepoint,103.8401372,1.3015383,4.0,4223,0.005072892040977148,4.064169854892031
11,12,Malls,City Square Mall,103.8561608,1.3114516,4.3,17990,0.021610544119625593,4.06958638849681
12,13,Malls,City Gate Mall,103.8625132,1.3022509,3.9,423,0.0005081300813008131,4.064413455525087
13,14,Malls,CityLink,103.8551976,1.2913005,4.3,1374,0.0016505218243671798,4.0648857441929565
14,15,Malls,DUO Galleria,103.8579913,1.2992641,4.2,533,0.00064026792750197,4.064583799618578
15,16,Malls,Far East Plaza,103.8336949,1.307547,3.9,4983,0.005985844432912414,4.063512387720502
16,17,Malls,Funan,103.8501932,1.2912647,4.4,4670,0.005609852197812759,4.066379163429679
17,18,Malls,Great World,103.8319293,1.2936417,4.2,5433,0.006526408349189875,4.065381389060333
18,19,Malls,Housing & Development Board,103.8479611,1.3323583,4.1,557,0.0006690980030367679,4.064520796378805
19,20,Malls,Holland Road Shopping Centre,103.7953005,1.3102049,4.0,461,0.0005537777008975764,4.064461324396804
20,21,Malls,ION Orchard,103.8319512,1.3039288,4.5,23217,0.02788949432047512,4.076642998709981
21,22,Malls,Junction 8,103.8487631,1.3506808,4.2,10525,0.012643189375156162,4.066210230986337
22,23,Malls,Knightsbridge,103.8361853,1.3030644,4.3,85,0.0001021065175190759,4.064521087807083
23,24,Malls,Liat Towers,103.8305905,1.3051925,4.1,69,8.288646716254397e-05,4.064499984134928
24,25,Malls,Lucky Plaza,103.8339449,1.3045456,4.0,13554,0.016281785158277114,4.06344691444837
25,26,Malls,Marina Bay Sands Singapore,103.8609937,1.2846547,4.6,8202,0.009852678314017182,4.06977317980721
26,27,Malls,The Shoppes at Marina Bay Sands,103.8600338,1.2842759,4.5,16389,0.019687337830825116,4.073070935292003
27,28,Malls,MBFC Tower 3,103.8544967,1.2790221,4.3,976,0.001172423071748448,4.064773150522221
28,29,Malls,Marina Bay Link Mall,103.8543391,1.2795303,4.3,2913,0.003499250418036095,4.065321125246377
