,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1446,Sports SG Swimming Complex/Sports Hall/Gym Tampines Avenue 4,Swimming Complex/Sports Hall/Gym,Tampines Avenue 4,1.3530739380686312,103.94029190765625,Sports SG Swimming Complex/Sports Hall/Gym Tampines Avenue 4 Tampines A,ChIJrUlEWhI92jERvt94DySkZLg,667.0,4.5,0.21074249605055292,4.24349131121643
1447,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym Pasir Ris Central,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Pasir Ris Central,1.3742806134607128,103.95187699073897,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym Pasir Ris Central Pasir Ris ,ChIJ63CtJbA92jERHCySfnqil9c,721.0,4.2,0.22780410742496052,4.1806951026856245
1448,Sports SG Swimming Complex/Stadium Stirling Road,Swimming Complex/Stadium,Stirling Road,1.2961475133663551,103.80245826982248,Sports SG Swimming Complex/Stadium Stirling Road Stirli,ChIJzY9SBDca2jER7DUKkJdZt_4,56.0,4.2,0.01769352290679305,4.175442338072671
1449,Sports SG Swimming Complex/Sports Hall/Gym/Hockey Pitch Anchorvale Road,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Anchorvale Road,1.3958790306118691,103.88667262791424,Sports SG Swimming Complex/Sports Hall/Gym/Hockey Pitch Anchorvale Road Anchorva,ChIJ7UrY8HMW2jER3ouFYG5edII,1870.0,4.2,0.5908372827804107,4.189770932069511
1450,Sports SG Swimming Complex/ Stadium Yio Chu Kang Road,Swimming Complex/ Stadium,Yio Chu Kang Road,1.35631918278471,103.87482408373886,Sports SG Swimming Complex/ Stadium Yio Chu Kang Road Yio Chu Ka,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,3165.0,4.4,1.0,4.4
1451,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Lorong 6 Toa Payoh,Swimming Complex/Sports Hall/Stadium/Gym,Lorong 6 Toa Payoh,1.330353526190689,103.85192844475472,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Lorong 6 Toa Payoh Lorong 6 To,ChIJR4Ml6WMX2jER-PnxPgvNfZ8,370.0,4.1,0.11690363349131122,4.166232227488153
1452,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Woodlands Street 12,Swimming Complex/Sports Hall/Stadium/Gym,Woodlands Street 12,1.434714992896097,103.780162728609,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Woodlands Street 12 Woodlands St,ChIJV5hnA6wT2jERqD4CwNu0SpM,1830.0,4.1,0.5781990521327014,4.131635071090048
1453,Sports SG Field/Tennis Centre St Wilfred Road,Field/Tennis Centre,St Wilfred Road,1.3256528687721216,103.8615816053628,Sports SG Field/Tennis Centre St Wilfred Road St Wilfr,ChIJ82shcl492jERMpk3G4T-UNQ,9.0,4.3,0.002843601895734597,4.175355450236967
1454,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym Ang Mo Kio Avenue 9,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,Ang Mo Kio Avenue 9,1.3826464401327203,103.84653849276384,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym Ang Mo Kio Avenue 9 Ang Mo Kio A,ChIJRTMHoeoW2jERFtq9Ooj11hA,70.0,4.2,0.022116903633491312,4.175552922590838
1455,Sports SG Sports Hall/Stadium/Gym Yishun Avenue 1,Sports Hall/Stadium/Gym,Yishun Avenue 1,1.4124404659329606,103.83204837313872,Sports SG Sports Hall/Stadium/Gym Yishun Avenue 1 Yishun A,ChIJF1vVlg8U2jERUiRDDno7WWo,569.0,4.1,0.1797788309636651,4.161516587677726
1456,Sports SG Swimming Complex Yishun Avenue 3,Swimming Complex,Yishun Avenue 3,1.4236132815161078,103.834037914229,Sports SG Swimming Complex Yishun Avenue 3 Yishun A,ChIJK0xqkm0U2jERxE1kvqI95bU,663.0,4.0,0.209478672985782,4.138341232227488
1457,Sports SG Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch Evans Road,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,Evans Road,1.3195293794686642,103.81943824049836,Sports SG Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch Evans Road Eva,ChIJ14HOpmob2jERxgBVEhrK-5M,92.0,4.3,0.029067930489731438,4.178633491311217
1458,Sports SG Swimming Complex/Sports Hall/Gym/Hockey Pitch Tiong Bahru Road,Swimming Complex/Sports Hall/Gym/Hockey Pitch,Tiong Bahru Road,1.2895254455072092,103.82040950412514,Sports SG Swimming Complex/Sports Hall/Gym/Hockey Pitch Tiong Bahru Road Tiong Bah,ChIJ63CtJbA92jERHCySfnqil9c,721.0,4.2,0.22780410742496052,4.1806951026856245
1460,Sports SG Swimming Complex Aljunied Crescent Avenue 1,Swimming Complex,Aljunied Crescent Avenue 1,1.3209979201685187,103.88805267638811,Sports SG Swimming Complex Aljunied Crescent Avenue 1 Aljunied Crescent A,ChIJSR2mziMY2jERIExETGdxQzU,391.0,4.1,0.12353870458135861,4.165734597156399
1461,Sports SG Field Lorong 12 Geylang,Field,Lorong 12 Geylang,1.3103553774938594,103.87798073016204,Sports SG Field Lorong 12 Geylang Lorong 12 ,ChIJ1dRSajcY2jER5XTEhZx3Nb0,12.0,3.9,0.0037914691943127963,4.173957345971564
1462,Sports SG Field/Tennis Centre Rutland Road,Field/Tennis Centre,Rutland Road,1.310975453094105,103.84950190933505,Sports SG Field/Tennis Centre Rutland Road Rutla,ChIJr5oACawZ2jEROIFA02hlk1E,65.0,4.2,0.020537124802527645,4.175513428120063
1463,Sports SG Swimming Complex/Stadium Tyrwhitt Road,Swimming Complex/Stadium,Tyrwhitt Road,1.3100467716941753,103.86026753515593,Sports SG Swimming Complex/Stadium Tyrwhitt Road Tyrwhi,ChIJY2LsCckZ2jERJrcMS91EpJU,1135.0,4.2,0.358609794628752,4.183965244865719
1465,Sports SG Swimming Complex/Sports Hall/Tennis Centre/Gym Bedok North Street 1,Swimming Complex/Sports Hall/Tennis Centre/Gym,Bedok North Street 1,1.3269504939979333,103.93207011407812,Sports SG Swimming Complex/Sports Hall/Tennis Centre/Gym Bedok North Street 1 Bedok North S,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,3165.0,4.4,1.0,4.4
1466,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Hougang Avenue 4,Swimming Complex/Sports Hall/Stadium/Gym,Hougang Avenue 4,1.3695934347573404,103.88695315316586,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Hougang Avenue 4 Hougang A,ChIJkXNe_kgW2jERdbA8eINhaAc,253.0,4.1,0.07993680884676145,4.1690047393364935
1467,Sports SG Stadium West Coast Walk,Stadium,West Coast Walk,1.309710346343816,103.7629682565247,Sports SG Stadium West Coast Walk West Coa,ChIJDzmqnpIa2jER6Y9_kyWIcuQ,381.0,4.2,0.12037914691943127,4.178009478672986
1468,Sports SG Swimming Complex/Sports Hall/Gym Clementi Avenue 3,Swimming Complex/Sports Hall/Gym,Clementi Avenue 3,1.3104873520194005,103.76548164099064,Sports SG Swimming Complex/Sports Hall/Gym Clementi Avenue 3 Clementi A,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,3165.0,4.4,1.0,4.4
1469,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym Jurong West Street 93,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,Jurong West Street 93,1.3383086233111423,103.69444341063854,Sports SG Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym Jurong West Street 93 Jurong West St,ChIJEwW7gpoP2jER4o0mrMTZddM,1569.0,4.3,0.4957345971563981,4.23696682464455
1470,Sports SG Swimming Complex Geylang Bahru Lane,Swimming Complex,Geylang Bahru Lane,1.322649227192016,103.87242282305024,Sports SG Swimming Complex Geylang Bahru Lane Geylang Bah,ChIJYYmRvisY2jER_H6ce3o6PIA,363.0,4.0,0.11469194312796209,4.154928909952607
1472,Sports SG Swimming Complex Wilkinson Road,Swimming Complex,Wilkinson Road,1.301854100650948,103.8861053177368,Sports SG Swimming Complex Wilkinson Road Wilkins,ChIJRz8R7kMY2jER-96gfYSOqvw,279.0,4.0,0.0881516587677725,4.159573459715641
1473,Sports SG Swimming Complex Ang Mo Kio Avenue 1,Swimming Complex,Ang Mo Kio Avenue 1,1.363146318655621,103.84968672271646,Sports SG Swimming Complex Ang Mo Kio Avenue 1 Ang Mo Kio A,ChIJdZqloOcW2jERfOq0MTBjb20,361.0,4.0,0.11406003159557662,4.155039494470775
1474,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Bishan Street 14,Swimming Complex/Sports Hall/Stadium/Gym,Bishan Street 14,1.354593924901506,103.8509766148839,Sports SG Swimming Complex/Sports Hall/Stadium/Gym Bishan Street 14 Bishan St,ChIJCX6pHhoX2jERDmIqgb3RhuY,5.0,4.4,0.001579778830963665,4.175355450236967
1475,Sports SG Swimming Complex Bukit Batok Street 22,Swimming Complex,Bukit Batok Street 22,1.3445342246884908,103.74810664679934,Sports SG Swimming Complex Bukit Batok Street 22 Bukit Batok St,ChIJhYwEvhUQ2jERP9_qytcvWsU,483.0,4.2,0.15260663507109004,4.178815165876777
1476,Sports SG Sports Hall/Stadium/Gym Bukit Batok West Avenue 5,Sports Hall/Stadium/Gym,Bukit Batok West Avenue 5,1.3585876276845985,103.75299959972013,Sports SG Sports Hall/Stadium/Gym Bukit Batok West Avenue 5 Bukit Batok West A,ChIJKydd_kkQ2jERP8621RAPPz4,196.0,4.2,0.06192733017377567,4.176548183254345
1477,Sports SG Stadium Bedok North Street 2,Stadium,Bedok North Street 2,1.3261705912331496,103.93807628475322,Sports SG Stadium Bedok North Street 2 Bedok North S,ChIJ1aYdSzU92jERCCLawGTW3II,726.0,4.2,0.22938388625592418,4.180734597156398
1478,Sports SG Squash Centre/Tennis Centre Burghley Drive,Squash Centre/Tennis Centre,Burghley Drive,1.3593021935230745,103.86054262923656,Sports SG Squash Centre/Tennis Centre Burghley Drive Burghle,ChIJuerriwMX2jER0yErh3zaxrY,128.0,4.2,0.04044233807266982,4.1760110584518175
1479,Sports SG Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym Choa Chu Kang Street 53,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,Choa Chu Kang Street 53,1.391030234612661,103.748633460196,Sports SG Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym Choa Chu Kang Street 53 Choa Chu Kang St,ChIJ_WX9ue0R2jER865IJyACAoc,560.0,4.1,0.1769352290679305,4.161729857819906
1480,Sports SG Stadium Fourth Chin Bee Road,Stadium,Fourth Chin Bee Road,1.3327974018869604,103.71937336830368,Sports SG Stadium Fourth Chin Bee Road Fourth Chin B,ChIJZ4AeR_oP2jER7NVPWsrhois,101.0,3.7,0.031911532385466033,4.159842022116904
