,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
0,187,Primary School,NANYANG PRIMARY SCHOOL,"103.807750155296,1.32084749904532",5.0,103.807750155296,1.32084749904532,ChIJqc-YxA4a2jERZxLBCZ0Q2-k,87.0,4.2,0.01353874883286648,4.264033449637164
1,298,Primary School,TAO NAN SCHOOL,"103.911502213437,1.30460898085751",5.0,103.911502213437,1.30460898085751,ChIJu7rEVHQY2jERAOK60q1sea4,77.0,4.4,0.011982570806100218,4.26653097886328
2,5,Primary School,AI TONG SCHOOL,"103.833020333986,1.3605834338904",5.0,103.833020333986,1.3605834338904,ChIJfTfUmCgX2jERkLpAfs5rmXY,45.0,4.3,0.0070028011204481795,4.26515799302177
3,218,Primary School,PEI CHUN PUBLIC SCHOOL,"103.855341310212,1.33677864390672",5.0,103.855341310212,1.33677864390672,ChIJ_68_uG8X2jERyldHou77MrY,55.0,4.0,0.008558979147214442,4.262644902015387
4,128,Primary School,HENRY PARK PRIMARY SCHOOL,"103.784296227747,1.31667646178347",5.0,103.784296227747,1.31667646178347,ChIJ0f1g03oa2jERSZcDgGdXvoQ,58.0,4.5,0.00902583255524432,4.267034143091934
5,252,Primary School,ROSYTH SCHOOL,"103.87477170399,1.3728583654058",5.0,103.87477170399,1.3728583654058,ChIJ5dv0qFAW2jERxXts_D6ySiI,56.0,4.4,0.008714596949891068,4.266089515728319
6,280,Primary School,ST. HILDA'S PRIMARY SCHOOL,"103.936865693533,1.34934960586367",5.0,103.936865693533,1.34934960586367,ChIJ9zd1B0EFBBAR9qx_GhbrJhA,24.0,4.2,0.003734827264239029,4.264669844546005
7,253,Primary School,RULANG PRIMARY SCHOOL,"103.718786145011,1.34718953201213",5.0,103.718786145011,1.34718953201213,ChIJ_Va9QN0P2jERdRoBJnXUvRc,63.0,4.6,0.00980392156862745,4.268197454420364
8,48,Primary School,CATHOLIC HIGH SCHOOL,"103.844210670766,1.35438878373608",5.0,103.844210670766,1.35438878373608,ChIJwd3OARgX2jERaWRu3nJMCdA,99.0,4.2,0.015406162464985995,4.26391223155929
10,101,Primary School,FAIRFIELD METHODIST SCHOOL (PRIMARY),"103.785455606827,1.30100441916733",5.0,103.785455606827,1.30100441916733,ChIJ-UtF31oa2jER2fW9Tw7KxOg,31.0,4.5,0.004824151882975412,4.266046379565472
11,219,Primary School,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,"103.776250903095,1.33807302121151",5.0,103.776250903095,1.33807302121151,ChIJi65qMIgQ2jERUJGg6gDYA4k,40.0,4.7,0.006224712107065048,4.2676205764957045
